league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_4Y0z9kR8;Finalizado;2021-02-02 00:00:00;Qiu L. (Ger);Jha K. (Usa);0;3;[{'home': 5, 'away': 11}, {'home': 13, 'away': 15}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_ncju89tF;Finalizado;2021-02-02 00:00:00;Perez J. (Esp);Berglund S. (Swe);0;3;[{'home': 4, 'away': 11}, {'home': 7, 'away': 11}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_Qmkq7TeL;Finalizado;2021-02-02 00:00:00;Cheaib D. (Leb);Chamorro M. (Esp);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 3}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_fNgm6mBR;Finalizado;2021-02-02 00:00:00;Burgos N. (Chi);Jha K. (Usa);0;3;[{'home': 5, 'away': 11}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];;
Challenger Series (Alemania);1;g_25_dWuF17Jr;Finalizado;2021-02-02 00:00:00;Elmahdy A. (Egy);Chamorro M. (Esp);3;2;[{'home': 10, 'away': 12}, {'home': 5, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 11, 'away': 9}];;
Challenger Series (Alemania);1;g_25_veVJ0RYl;Finalizado;2021-02-02 00:00:00;Qiu L. (Ger);Cheaib D. (Leb);3;1;[{'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 11, 'away': 4}];;
Challenger Series (Alemania);1;g_25_xtlNaole;Finalizado;2021-02-02 00:00:00;Perez J. (Esp);Elmahdy A. (Egy);1;3;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_W2mRb531;Finalizado;2021-02-02 00:00:00;Burgos N. (Chi);Berglund S. (Swe);2;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_lYxyKnU7;Finalizado;2021-02-02 00:00:00;Bochkarev A. (Rus);Klavdenkov A. (Rus);2;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 4}, {'home': 13, 'away': 11}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}];1.88;1.78
Liga Pro (Rusia);1;g_25_GK2yWhN2;Finalizado;2021-02-02 00:00:00;Kolmin A. (Rus);Sergeevich I. (Rus);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 8}, {'home': 11, 'away': 3}];1.55;2.22
