league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_I7DOYGjm;Finalizado;2021-01-19;Chtchetinine E. (Blr);Cheaib D. (Leb);0;3;[{'home': 2, 'away': 11}, {'home': 8, 'away': 11}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_449KZdys;Anulado;2021-01-19;Kuzmin F. (Rus);Henninger M. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_CUCSXz6g;Finalizado;2021-01-19;Huzjak J. (Cro);Thimon J. (Swe);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 11, 'away': 4}];;
Challenger Series (Alemania);1;g_25_WWSTVEz6;Finalizado;2021-01-19;Burgos N. (Chi);Thimon J. (Swe);3;0;[{'home': 11, 'away': 4}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}];;
Challenger Series (Alemania);1;g_25_ANRXUYkC;Finalizado;2021-01-19;Kuzmin F. (Rus);Huzjak J. (Cro);3;1;[{'home': 5, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}, {'home': 11, 'away': 3}];;
Challenger Series (Alemania);1;g_25_jLBWWfLa;Anulado;2021-01-19;Perez J. (Esp);Henninger M. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_4pRyUh5I;Finalizado;2021-01-19;Chtchetinine E. (Blr);Burgos N. (Chi);3;1;[{'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_ImVuTCKO;Finalizado;2021-01-19;Perez J. (Esp);Cheaib D. (Leb);0;3;[{'home': 5, 'away': 11}, {'home': 8, 'away': 11}, {'home': 1, 'away': 11}];;
Challenger Series (Alemania);1;g_25_APbPw3jB;Finalizado;2021-01-19;Cheaib D. (Leb);Kuzmin F. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_4nbTxN5H;Finalizado;2021-01-19;Chtchetinine E. (Blr);Burgos N. (Chi);3;1;[{'home': 12, 'away': 10}, {'home': 2, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];;
Challenger Series (Alemania);1;g_25_YVoVsbuh;Finalizado;2021-01-19;Kuzmin F. (Rus);Chtchetinine E. (Blr);3;0;[{'home': 11, 'away': 4}, {'home': 11, 'away': 4}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_Q1zBGFED;Finalizado;2021-01-19;Belugin O. (Rus);Karpovkin G. (Rus);3;0;[{'home': 11, 'away': 2}, {'home': 13, 'away': 11}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_j5ZdSXUM;Finalizado;2021-01-19;Khomutov S. (Rus);Simonov S. (Rus);3;0;[{'home': 11, 'away': 2}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_dt3JMjym;Finalizado;2021-01-19;Lisov A. (Rus);Mikheev D. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_nDxtWFVc;Finalizado;2021-01-19;Kolmin A. (Rus);Belugin O. (Rus);3;0;[{'home': 11, 'away': 5}, {'home': 14, 'away': 12}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_v71JqZac;Finalizado;2021-01-19;Klavdenkov A. (Rus);Lisov A. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 7}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_UeY0RipT;Finalizado;2021-01-19;Poletaev I. (Rus);Khomutov S. (Rus);1;3;[{'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_0GtpVZp4;Finalizado;2021-01-19;Karpovkin G. (Rus);Sergeevich I. (Rus);0;3;[{'home': 10, 'away': 12}, {'home': 7, 'away': 11}, {'home': 13, 'away': 15}];;
Liga Pro (Rusia);1;g_25_nX4RsDU9;Finalizado;2021-01-19;Mikheev D. (Rus);Bochkarev A. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_nyLSMBhp;Finalizado;2021-01-19;Simonov S. (Rus);Tsvetkov V. (Rus);0;3;[{'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_fwtlUg0A;Finalizado;2021-01-19;Sergeevich I. (Rus);Belugin O. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_UefWtXqG;Finalizado;2021-01-19;Bochkarev A. (Rus);Lisov A. (Rus);3;1;[{'home': 11, 'away': 5}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_bBOWLV7j;Finalizado;2021-01-19;Tsvetkov V. (Rus);Khomutov S. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 13, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_YTvhTDFG;Finalizado;2021-01-19;Kolmin A. (Rus);Karpovkin G. (Rus);1;3;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_rabztiaM;Finalizado;2021-01-19;Klavdenkov A. (Rus);Mikheev D. (Rus);3;1;[{'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 9}];;
