league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Liga Pro (Rusia);1;g_25_j5PoND1A;Finalizado;2021-02-14 00:00:00;Duka A. (Rus);Gancev S. (Rus);3;0;[{'home': 11, 'away': 1}, {'home': 11, 'away': 3}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_nXIfLiWM;Finalizado;2021-02-14 00:00:00;Klavdenkov A. (Rus);Khomutov S. (Rus);0;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_IF9QFVgp;Finalizado;2021-02-14 00:00:00;Klimentev V. (Rus);Savinskiy A. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 11, 'away': 5}, {'home': 5, 'away': 11}, {'home': 11, 'away': 7}];1.16;4.35
Liga Pro (Rusia);1;g_25_drQsOgn4;Finalizado;2021-02-14 00:00:00;Bogomolov A. (Rus);Merezhko A. (Rus);1;3;[{'home': 11, 'away': 6}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}, {'home': 11, 'away': 13}];1.7;1.96
Liga Pro (Rusia);1;g_25_SOsp1TqF;Finalizado;2021-02-14 00:00:00;Merezhko A. (Rus);Duka A. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}];1.67;2.02
Liga Pro (Rusia);1;g_25_WIPBFSb8;Finalizado;2021-02-14 00:00:00;Doncenko A. (Rus);Klimentev V. (Rus);3;2;[{'home': 11, 'away': 4}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}];1.38;2.67
Liga Pro (Rusia);1;g_25_KMMOgoxk;Finalizado;2021-02-14 00:00:00;Lisov A. (Rus);Klavdenkov A. (Rus);2;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}];1.7;1.96
Liga Pro (Rusia);1;g_25_6Ftl0maL;Finalizado;2021-02-14 00:00:00;Gancev S. (Rus);Bogomolov A. (Rus);2;3;[{'home': 11, 'away': 9}, {'home': 12, 'away': 14}, {'home': 3, 'away': 11}, {'home': 12, 'away': 10}, {'home': 4, 'away': 11}];2.98;1.32
Liga Pro (Rusia);1;g_25_bDLSh5ie;Finalizado;2021-02-14 00:00:00;Khomutov S. (Rus);Tolmachev I. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 12, 'away': 14}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_pMTFEnEE;Finalizado;2021-02-14 00:00:00;Savinskiy A. (Rus);Pandur I. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 5, 'away': 11}];1.63;2.08
Liga Pro (Rusia);1;g_25_lvWha7ER;Finalizado;2021-02-14 00:00:00;Bogomolov A. (Rus);Duka A. (Rus);1;3;[{'home': 11, 'away': 9}, {'home': 11, 'away': 13}, {'home': 8, 'away': 11}, {'home': 7, 'away': 11}];;
