league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Win Cup (Ucrania);1;g_25_ht2JNUFd;Finalizado;2020-12-24;Boychuk V. (Ukr);Lukander D. (Ukr);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_WQXaWMJd;Finalizado;2020-12-24;Strelets V. (Ukr);Rybakov Y. (Ukr);1;3;[{'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 4, 'away': 11}];;
Win Cup (Ucrania);1;g_25_AHW3VtZ2;Finalizado;2020-12-24;Rybakov Y. (Ukr);Lukander D. (Ukr);3;2;[{'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_voO6Smx5;Finalizado;2020-12-24;Ivchenko K. (Ukr);Metelskiy V. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_CpL7HahU;Finalizado;2020-12-24;Alistratov A. (Rus);Goloveshkin A. (Ukr);3;1;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_tpF98qh2;Finalizado;2020-12-24;Bratukhin Y. (Ukr);Shalgorodskiy N. (Ukr);1;3;[{'home': 11, 'away': 13}, {'home': 12, 'away': 10}, {'home': 10, 'away': 12}, {'home': 7, 'away': 11}];;
Win Cup (Ucrania);1;g_25_Wv1uCSiO;Finalizado;2020-12-24;Grushko V. (Ukr);Zaychenko V. (Ukr);0;3;[{'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_4vW7U0l9;Finalizado;2020-12-24;Strelets V. (Ukr);Boychuk V. (Ukr);0;3;[{'home': 4, 'away': 11}, {'home': 5, 'away': 11}, {'home': 10, 'away': 12}];;
Win Cup (Ucrania);1;g_25_SvKTDvUs;Finalizado;2020-12-24;Deynega M. (Ukr);Nesterenko I. (Ukr);3;2;[{'home': 9, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}, {'home': 11, 'away': 4}];;
Win Cup (Ucrania);1;g_25_fm3iXSU2;Finalizado;2020-12-24;Dotsenko V. (Ukr);Pasternak V. (Ukr);2;3;[{'home': 11, 'away': 4}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_jLRAR7iB;Finalizado;2020-12-24;Ivchenko K. (Ukr);Zaychenko V. (Ukr);1;3;[{'home': 12, 'away': 10}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_Yw2eWnp9;Finalizado;2020-12-24;Kolesnik A. (Ukr);Shamray A. (Ukr);1;3;[{'home': 9, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_M1JXCbql;Finalizado;2020-12-24;Ermolaev A. (Ukr);Smetenko V. (Ukr);3;2;[{'home': 11, 'away': 3}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_x8nExqOu;Finalizado;2020-12-24;Alistratov A. (Rus);Shamray A. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}, {'home': 5, 'away': 11}];;
Win Cup (Ucrania);1;g_25_prREQR6H;Finalizado;2020-12-24;Grushko V. (Ukr);Metelskiy V. (Ukr);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_KhqwGnHP;Finalizado;2020-12-24;Panin V. (Ukr);Zubko V. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 2}, {'home': 10, 'away': 12}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_jHiQ4M8O;Finalizado;2020-12-24;Shalgorodskiy N. (Ukr);Pasternak V. (Ukr);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 11, 'away': 4}];;
Win Cup (Ucrania);1;g_25_juIDQxVp;Finalizado;2020-12-24;Deynega M. (Ukr);Smetenko V. (Ukr);2;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 7, 'away': 11}, {'home': 11, 'away': 3}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_ttXZOPgt;Finalizado;2020-12-24;Dotsenko V. (Ukr);Bratukhin Y. (Ukr);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_xYV4B6Pt;Finalizado;2020-12-24;Dyakov V. (Ukr);Shekhovtsov A. (Ukr);0;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_OYPIPoMN;Finalizado;2020-12-24;Ivchenko K. (Ukr);Grushko V. (Ukr);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_GboIy3wn;Finalizado;2020-12-24;Kolesnik A. (Ukr);Goloveshkin A. (Ukr);0;3;[{'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 10, 'away': 12}];;
Win Cup (Ucrania);1;g_25_4r6ekM7o;Finalizado;2020-12-24;Ermolaev A. (Ukr);Nesterenko I. (Ukr);3;1;[{'home': 13, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_OOpMzNhh;Finalizado;2020-12-24;Alistratov A. (Rus);Kolesnik A. (Ukr);1;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 11, 'away': 13}];;
Win Cup (Ucrania);1;g_25_6NYDK43m;Finalizado;2020-12-24;Panin V. (Ukr);Shekhovtsov A. (Ukr);3;2;[{'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_QTIeK18B;Finalizado;2020-12-24;Shalgorodskiy N. (Ukr);Dotsenko V. (Ukr);3;1;[{'home': 12, 'away': 14}, {'home': 13, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_tAKNO5yU;Finalizado;2020-12-24;Zaychenko V. (Ukr);Metelskiy V. (Ukr);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_2TObltNi;Finalizado;2020-12-24;Deynega M. (Ukr);Ermolaev A. (Ukr);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 5}, {'home': 11, 'away': 5}];;
Win Cup (Ucrania);1;g_25_rJ6kKPqo;Finalizado;2020-12-24;Metelskiy V. (Ukr);Ivchenko K. (Ukr);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 8}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_8hOjLsg5;Finalizado;2020-12-24;Pasternak V. (Ukr);Bratukhin Y. (Ukr);3;1;[{'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 12, 'away': 10}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_2FqQZt8b;Finalizado;2020-12-24;Shamray A. (Ukr);Goloveshkin A. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_0pYHJOIg;Finalizado;2020-12-24;Dyakov V. (Ukr);Zubko V. (Ukr);3;1;[{'home': 11, 'away': 9}, {'home': 12, 'away': 10}, {'home': 7, 'away': 11}, {'home': 13, 'away': 11}];;
Win Cup (Ucrania);1;g_25_phE3m0xb;Finalizado;2020-12-24;Smetenko V. (Ukr);Nesterenko I. (Ukr);3;0;[{'home': 11, 'away': 4}, {'home': 14, 'away': 12}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_zuQrN3Oh;Finalizado;2020-12-24;Bratukhin Y. (Ukr);Shalgorodskiy N. (Ukr);2;3;[{'home': 11, 'away': 6}, {'home': 11, 'away': 6}, {'home': 4, 'away': 11}, {'home': 6, 'away': 11}, {'home': 5, 'away': 11}];;
Win Cup (Ucrania);1;g_25_jFd0V6aF;Finalizado;2020-12-24;Goloveshkin A. (Ukr);Alistratov A. (Rus);3;1;[{'home': 11, 'away': 6}, {'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 11, 'away': 4}];;
Win Cup (Ucrania);1;g_25_vyXLIrYa;Finalizado;2020-12-24;Panin V. (Ukr);Dyakov V. (Ukr);3;2;[{'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 11, 'away': 13}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}];;
