league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Extraliga (República Checa) - Play Offs;1;g_25_4IKDcZhb;Finalizado;2021-04-07 11:00:00;Cheb;Hradec Kralove;2;3;[];;
Extraliga (República Checa) - Play Offs;1;g_25_nRLfsE8H;Finalizado;2021-04-07 11:00:00;TTC Ostrava;Havirov;3;0;[];;
Challenger Series (Alemania);1;g_25_Mu0LS4W7;Finalizado;2021-04-07 01:30:00;Chamorro M. (Esp);Chambers D. (Aus);1;3;[{'home': 7, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 12, 'away': 14}];;
Challenger Series (Alemania);1;g_25_lhyGlngR;Finalizado;2021-04-07 02:10:00;Cheaib D. (Leb);Klein D. (Ger);3;2;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}];;
Challenger Series (Alemania);1;g_25_fZDrp61r;Finalizado;2021-04-07 02:50:00;Muhlbach C. (Ger);Levajac D. (Ger);0;3;[{'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 4, 'away': 11}];;
Challenger Series (Alemania);1;g_25_8xInqQGl;Finalizado;2021-04-07 03:30:00;Martinko J. (Cze);Chtchetinine E. (Blr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 3}];;
Challenger Series (Alemania);1;g_25_2aHjrpWf;Finalizado;2021-04-07 04:10:00;Chamorro M. (Esp);Cheaib D. (Leb);2;3;[{'home': 2, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}];;
Challenger Series (Alemania);1;g_25_tjGfs4o1;Finalizado;2021-04-07 04:50:00;Muhlbach C. (Ger);Klein D. (Ger);1;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_bRAatO07;Finalizado;2021-04-07 05:30:00;Martinko J. (Cze);Levajac D. (Ger);3;1;[{'home': 3, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 11, 'away': 3}];;
Challenger Series (Alemania);1;g_25_xI93urGD;Finalizado;2021-04-07 06:10:00;Chtchetinine E. (Blr);Chambers D. (Aus);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 6}, {'home': 11, 'away': 3}];;
Challenger Series (Alemania);1;g_25_jLco4RhE;Finalizado;2021-04-07 06:50:00;Chamorro M. (Esp);Muhlbach C. (Ger);1;3;[{'home': 6, 'away': 11}, {'home': 13, 'away': 11}, {'home': 4, 'away': 11}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_2e1k3o8K;Finalizado;2021-04-07 07:30:00;Cheaib D. (Leb);Chambers D. (Aus);3;1;[{'home': 11, 'away': 13}, {'home': 11, 'away': 5}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}];;
Challenger Series (Alemania);1;g_25_pKjf25NQ;Finalizado;2021-04-07 08:10:00;Martinko J. (Cze);Klein D. (Ger);2;3;[{'home': 11, 'away': 4}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 8, 'away': 11}];;
Extraliga (República Checa) - Play Offs;1;g_25_h4r6bO9j;Finalizado;2021-04-07 11:00:00;Gavlas A. (Cze);Crha J. (Cze);1;3;[{'home': 11, 'away': 5}, {'home': 14, 'away': 16}, {'home': 3, 'away': 11}, {'home': 8, 'away': 11}];;
Extraliga (República Checa) - Play Offs;1;g_25_fesG88Xc;Finalizado;2021-04-07 11:00:00;Kleprlik J. (Cze);Bajger O. (Cze);3;1;[{'home': 11, 'away': 5}, {'home': 13, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 6}];;
Extraliga (República Checa) - Play Offs;1;g_25_n3aN6n2A;Finalizado;2021-04-07 11:30:00;Olivares F. (Chi);David P. (Cze);3;1;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 11, 'away': 4}];;
Extraliga (República Checa) - Play Offs;1;g_25_f9MlN7ni;Finalizado;2021-04-07 11:30:00;Stepanek D. (Cze);Klasek M. (Cze);3;1;[{'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];;
Extraliga (República Checa) - Play Offs;1;g_25_QgbR56HG;Finalizado;2021-04-07 12:00:00;Delincak F. (Svk);Valenta J. (Cze);3;1;[{'home': 6, 'away': 11}, {'home': 11, 'away': 3}, {'home': 13, 'away': 11}, {'home': 11, 'away': 4}];;
Extraliga (República Checa) - Play Offs;1;g_25_tQKdLoH3;Finalizado;2021-04-07 12:00:00;Kveton O. (Cze);Buben V. (Cze);1;3;[{'home': 5, 'away': 11}, {'home': 13, 'away': 15}, {'home': 11, 'away': 5}, {'home': 8, 'away': 11}];;
Extraliga (República Checa) - Play Offs;1;g_25_2u95JPoG;Finalizado;2021-04-07 12:30:00;Gavlas A. (Cze);Klasek M. (Cze);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}];;
Extraliga (República Checa) - Play Offs;1;g_25_rVhW4QWM;Anulado;2021-04-07 12:30:00;Kleprlik J. (Cze);David P. (Cze);0;0;[];;
Extraliga (República Checa) - Play Offs;1;g_25_MLiz4pnT;Anulado;2021-04-07 13:00:00;Olivares F. (Chi);Bajger O. (Cze);0;0;[];;
Extraliga (República Checa) - Play Offs;1;g_25_GrD9Iq1M;Finalizado;2021-04-07 13:00:00;Stepanek D. (Cze);Crha J. (Cze);0;3;[{'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_MgHj2zQQ;Finalizado;2021-04-07 00:00:00;Belugin O. (Rus);Karpovkin G. (Rus);2;3;[{'home': 11, 'away': 4}, {'home': 11, 'away': 7}, {'home': 3, 'away': 11}, {'home': 10, 'away': 12}, {'home': 6, 'away': 11}];;
