league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Extraliga (República Checa);1;g_25_IuNSEwlR;Finalizado;2021-01-21;Havl. Brod;TTC Ostrava;3;0;[];;
Extraliga (República Checa);1;g_25_6se27V3i;Finalizado;2021-01-21;Tregler T. (Cze);Belik S. (Cze);3;2;[{'home': 11, 'away': 7}, {'home': 11, 'away': 3}, {'home': 7, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}];;
Extraliga (República Checa);1;g_25_pYg66kJc;Finalizado;2021-01-21;Obeslo M. (Cze);Kleprlik J. (Cze);3;1;[{'home': 4, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 11, 'away': 4}];;
Extraliga (República Checa);1;g_25_t0mF4TmA;Finalizado;2021-01-21;Prokopcov D. (Cze);Delincak F. (Svk);3;0;[{'home': 11, 'away': 9}, {'home': 12, 'away': 10}, {'home': 13, 'away': 11}];;
Extraliga (República Checa);1;g_25_zNnJ3m3G;Anulado;2021-01-21;Tregler T. (Cze);Kleprlik J. (Cze);0;0;[];;
Extraliga (República Checa);1;g_25_EDoN27IM;Anulado;2021-01-21;Obeslo M. (Cze);Belik S. (Cze);0;0;[];;
Liga Pro (Rusia);1;g_25_UXJG3Gei;Finalizado;2021-01-21;Vologzhanin V. (Rus);Zabrodin A. (Rus);3;1;[{'home': 11, 'away': 13}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_OWCP1fQ3;Finalizado;2021-01-21;Gavrilov Y. (Ukr);Poletaev I. (Rus);3;2;[{'home': 3, 'away': 11}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_xxnR50N6;Finalizado;2021-01-21;Rachkov V. (Rus);Chahur V. (Rus);3;2;[{'home': 10, 'away': 12}, {'home': 3, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 3}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_M1kj4mn2;Finalizado;2021-01-21;Karpovkin G. (Rus);Vologzhanin V. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 11, 'away': 4}, {'home': 5, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_8dfA9rOs;Finalizado;2021-01-21;Khomutov S. (Rus);Gavrilov Y. (Ukr);1;3;[{'home': 11, 'away': 13}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_p2oV4KxD;Finalizado;2021-01-21;Zirin A. (Rus);Rachkov V. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 5}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_z5wYSWO2;Finalizado;2021-01-21;Zabrodin A. (Rus);Kolmin A. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_OhpZ3vhJ;Finalizado;2021-01-21;Chahur V. (Rus);Nemashkalo V. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_2JgE82wl;Finalizado;2021-01-21;Poletaev I. (Rus);Nikiforov O. (Rus);1;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_EexxSjv9;Finalizado;2021-01-21;Kolmin A. (Rus);Vologzhanin V. (Rus);3;1;[{'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 11, 'away': 0}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_QcOHSNUJ;Finalizado;2021-01-21;Nemashkalo V. (Rus);Rachkov V. (Rus);1;3;[{'home': 13, 'away': 15}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_GMcI7Mhf;Finalizado;2021-01-21;Nikiforov O. (Rus);Gavrilov Y. (Ukr);3;1;[{'home': 11, 'away': 6}, {'home': 12, 'away': 14}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_WWWtRAgF;Finalizado;2021-01-21;Karpovkin G. (Rus);Zabrodin A. (Rus);3;2;[{'home': 11, 'away': 7}, {'home': 5, 'away': 11}, {'home': 4, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 4}];;
Liga Pro (Rusia);1;g_25_bomN6t80;Finalizado;2021-01-21;Khomutov S. (Rus);Poletaev I. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 9, 'away': 11}, {'home': 13, 'away': 11}, {'home': 10, 'away': 12}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_v1SLRspQ;Finalizado;2021-01-21;Zirin A. (Rus);Chahur V. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 13, 'away': 11}, {'home': 7, 'away': 11}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_4x3PjouI;Finalizado;2021-01-21;Zabrodin A. (Rus);Vologzhanin V. (Rus);2;3;[{'home': 11, 'away': 3}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_QJslgv1G;Finalizado;2021-01-21;Zirin A. (Rus);Nemashkalo V. (Rus);3;1;[{'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 2}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_UXcoZI9p;Finalizado;2021-01-21;Karpovkin G. (Rus);Kolmin A. (Rus);3;1;[{'home': 2, 'away': 11}, {'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_MZMlVG64;Finalizado;2021-01-21;Khomutov S. (Rus);Poletaev I. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_MkBoL87N;Finalizado;2021-01-21;Rachkov V. (Rus);Chahur V. (Rus);1;3;[{'home': 13, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_2D65dg53;Finalizado;2021-01-21;Gavrilov Y. (Ukr);Nikiforov O. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_WdGXaYfG;Finalizado;2021-01-21;Minchenkov I. (Rus);Korogodsky I. (Rus);2;3;[{'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 5, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_Yy7bu1EP;Finalizado;2021-01-21;Ilichev M. (Rus);Zhurba N. (Rus);0;3;[{'home': 11, 'away': 13}, {'home': 5, 'away': 11}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_hC4tbCPS;Finalizado;2021-01-21;Suharkov O. (Rus);Evlampiev V. (Rus);0;3;[{'home': 4, 'away': 11}, {'home': 4, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_AmFyahAM;Finalizado;2021-01-21;Afanasev I. (Rus);Troyanov Y. (Rus);0;3;[{'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_zogQzLMt;Finalizado;2021-01-21;Fedosov A. (Rus);Serebrennikov A. (Rus);3;1;[{'home': 11, 'away': 7}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_UXe8gWXq;Finalizado;2021-01-21;Kurilchik N. (Rus);Vahnin G. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_dtFmN1hs;Finalizado;2021-01-21;Korogodsky I. (Rus);Afanasev I. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 3}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_QL64JJi6;Finalizado;2021-01-21;Evlampiev V. (Rus);Kurilchik N. (Rus);3;1;[{'home': 11, 'away': 4}, {'home': 11, 'away': 13}, {'home': 11, 'away': 4}, {'home': 11, 'away': 8}];;
