league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Win Cup (Ucrania);1;g_25_2BFInbJE;Finalizado;2021-01-05;Kalenik S. (Ukr);Novikov Y. (Ukr);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_UXoFoIYK;Finalizado;2021-01-05;Khorolsky V. (Rus);Vavrenyuk S. (Ukr);2;3;[{'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 6}, {'home': 13, 'away': 11}, {'home': 6, 'away': 11}];;
Win Cup (Ucrania);1;g_25_My6ktsvh;Finalizado;2021-01-05;Grushko V. (Ukr);Metelskiy V. (Ukr);3;2;[{'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 11, 'away': 2}];;
Win Cup (Ucrania);1;g_25_8OpJpxlR;Finalizado;2021-01-05;Vavrenyuk S. (Ukr);Novikov Y. (Ukr);3;2;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 2}];;
Win Cup (Ucrania);1;g_25_8h4cvL84;Finalizado;2021-01-05;Moroz K. (Ukr);Isakov V. (Ukr);0;3;[{'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_Q3Xptddr;Finalizado;2021-01-05;Khorolsky V. (Rus);Kalenik S. (Ukr);3;2;[{'home': 11, 'away': 6}, {'home': 11, 'away': 6}, {'home': 4, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 4}];;
Win Cup (Ucrania);1;g_25_U15gu1gb;Finalizado;2021-01-05;Makarov V. (Ukr);Oleksenko B. (Ukr);2;3;[{'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 6}, {'home': 5, 'away': 11}];;
Win Cup (Ucrania);1;g_25_0OnmO8I6;Finalizado;2021-01-05;Ptitsyn D. (Ukr);Pavlyuk R. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_hbquQUmf;Finalizado;2021-01-05;Sharpay V. (Ukr);Lukander D. (Ukr);3;1;[{'home': 11, 'away': 5}, {'home': 4, 'away': 11}, {'home': 11, 'away': 9}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_jHg2wuOA;Finalizado;2021-01-05;Oplachko A. (Ukr);Kutniy I. (Ukr);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}];;
Win Cup (Ucrania);1;g_25_v7ykuGBl;Finalizado;2021-01-05;Grushko V. (Ukr);Oleksenko B. (Ukr);3;2;[{'home': 12, 'away': 10}, {'home': 5, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 1}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_rmxhNSXC;Finalizado;2021-01-05;Kievskiy Y. (Ukr);Kovorotushin E. (Ukr);2;3;[{'home': 10, 'away': 12}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}, {'home': 5, 'away': 11}];;
Win Cup (Ucrania);1;g_25_EPkXigef;Finalizado;2021-01-05;Moroz K. (Ukr);Kutniy I. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_nLrqPl30;Finalizado;2021-01-05;Panin V. (Ukr);Zubko V. (Ukr);3;1;[{'home': 13, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 3}];;
Win Cup (Ucrania);1;g_25_MVQgvzRf;Finalizado;2021-01-05;Makarov V. (Ukr);Metelskiy V. (Ukr);2;3;[{'home': 12, 'away': 10}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 5, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_8nkyiDA0;Finalizado;2021-01-05;Oplachko A. (Ukr);Isakov V. (Ukr);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 4}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_Ae74k6Y2;Finalizado;2021-01-05;Ptitsyn D. (Ukr);Kovorotushin E. (Ukr);3;2;[{'home': 11, 'away': 5}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}];;
Win Cup (Ucrania);1;g_25_86qWhKNc;Finalizado;2021-01-05;Sharpay V. (Ukr);Zubko V. (Ukr);3;2;[{'home': 10, 'away': 12}, {'home': 5, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}, {'home': 11, 'away': 4}];;
Win Cup (Ucrania);1;g_25_0KYUISbH;Finalizado;2021-01-05;Pavlyuk O. (Ukr);Zotov G. (Ukr);1;3;[{'home': 11, 'away': 9}, {'home': 3, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_0MPcwft1;Finalizado;2021-01-05;Grushko V. (Ukr);Makarov V. (Ukr);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 4}, {'home': 2, 'away': 11}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_4I68lQm9;Finalizado;2021-01-05;Kievskiy Y. (Ukr);Pavlyuk R. (Ukr);1;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}, {'home': 4, 'away': 11}];;
Win Cup (Ucrania);1;g_25_MkgujXP6;Finalizado;2021-01-05;Moroz K. (Ukr);Oplachko A. (Ukr);1;3;[{'home': 13, 'away': 11}, {'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_jVYzhvw4;Finalizado;2021-01-05;Panin V. (Ukr);Lukander D. (Ukr);2;3;[{'home': 5, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 4}, {'home': 6, 'away': 11}, {'home': 3, 'away': 11}];;
Win Cup (Ucrania);1;g_25_6cZQJ8qB;Finalizado;2021-01-05;Zavada N. (Ukr);Serikov V. (Ukr);3;2;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 2, 'away': 11}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_4ErpkiuD;Finalizado;2021-01-05;Kutniy I. (Ukr);Isakov V. (Ukr);1;3;[{'home': 4, 'away': 11}, {'home': 16, 'away': 18}, {'home': 11, 'away': 5}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_UeU1xEe7;Finalizado;2021-01-05;Oleksenko B. (Ukr);Metelskiy V. (Ukr);1;3;[{'home': 6, 'away': 11}, {'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 2, 'away': 11}];;
Win Cup (Ucrania);1;g_25_dj2RySn6;Finalizado;2021-01-05;Pavlyuk O. (Ukr);Serikov V. (Ukr);2;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_ILACmp3F;Finalizado;2021-01-05;Ptitsyn D. (Ukr);Kievskiy Y. (Ukr);2;3;[{'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 4, 'away': 11}, {'home': 4, 'away': 11}];;
Win Cup (Ucrania);1;g_25_ULXvibhA;Finalizado;2021-01-05;Sharpay V. (Ukr);Panin V. (Ukr);3;2;[{'home': 11, 'away': 3}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_r5sllBfJ;Finalizado;2021-01-05;Isakov V. (Ukr);Moroz K. (Ukr);2;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}];;
Win Cup (Ucrania);1;g_25_0p0Hn4IL;Finalizado;2021-01-05;Kovorotushin E. (Ukr);Pavlyuk R. (Ukr);0;3;[{'home': 3, 'away': 11}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_8nT5yYAD;Finalizado;2021-01-05;Metelskiy V. (Ukr);Grushko V. (Ukr);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_vF7Mx8Xa;Finalizado;2021-01-05;Zavada N. (Ukr);Zotov G. (Ukr);3;2;[{'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 11, 'away': 3}];;
Win Cup (Ucrania);1;g_25_bexqjI7G;Finalizado;2021-01-05;Zubko V. (Ukr);Lukander D. (Ukr);3;2;[{'home': 9, 'away': 11}, {'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 6}, {'home': 13, 'away': 11}];;
Win Cup (Ucrania);1;g_25_ABVVCfXJ;Finalizado;2021-01-05;Kutniy I. (Ukr);Oplachko A. (Ukr);0;3;[{'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_xnymkxNM;Finalizado;2021-01-05;Lukander D. (Ukr);Sharpay V. (Ukr);3;1;[{'home': 11, 'away': 5}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_Ai7l0HmE;Finalizado;2021-01-05;Oleksenko B. (Ukr);Makarov V. (Ukr);3;2;[{'home': 11, 'away': 4}, {'home': 11, 'away': 7}, {'home': 13, 'away': 15}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}];;
