league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Liga Pro (Rusia);1;g_25_Yu75tqhI;Finalizado;2021-03-27 00:00:00;Merezhko A. (Rus);Ovechkin S. (Rus);3;2;[{'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_GSSdV0aN;Finalizado;2021-03-27 00:15:00;Klavdenkov A. (Rus);Tolmachev I. (Rus);0;3;[{'home': 1, 'away': 11}, {'home': 14, 'away': 16}, {'home': 13, 'away': 15}];;
Liga Pro (Rusia);1;g_25_EcyCzHPR;Finalizado;2021-03-27 00:15:00;Savinskiy A. (Rus);Sinkovskiy V. (Rus);3;2;[{'home': 12, 'away': 10}, {'home': 11, 'away': 4}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_S269u37O;Finalizado;2021-03-27 00:30:00;Chernjavskiy M. (Rus);Merezhko A. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_Y3N1UKET;Finalizado;2021-03-27 00:45:00;Bazilevskii V. (Rus);Klavdenkov A. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_APxxzPph;Finalizado;2021-03-27 00:45:00;Zubkov V. (Rus);Savinskiy A. (Rus);3;1;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_t6ADvNMU;Finalizado;2021-03-27 01:00:00;Ovechkin S. (Rus);Vshivkov P. (Rus);3;1;[{'home': 11, 'away': 13}, {'home': 11, 'away': 4}, {'home': 11, 'away': 3}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_zD9TPvNp;Finalizado;2021-03-27 01:15:00;Tolmachev I. (Rus);Olshakov K. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_lGytZr0b;Finalizado;2021-03-27 01:15:00;Sinkovskiy V. (Rus);Klimentev V. (Rus);3;2;[{'home': 11, 'away': 3}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_2aZTyoGu;Finalizado;2021-03-27 01:30:00;Vshivkov P. (Rus);Merezhko A. (Rus);2;3;[{'home': 6, 'away': 11}, {'home': 12, 'away': 10}, {'home': 3, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 13}];;
Liga Pro (Rusia);1;g_25_lGcBlOao;Finalizado;2021-03-27 01:45:00;Olshakov K. (Rus);Klavdenkov A. (Rus);3;1;[{'home': 11, 'away': 13}, {'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_WvRpY2F4;Finalizado;2021-03-27 01:45:00;Klimentev V. (Rus);Savinskiy A. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_tjYXz5Vo;Finalizado;2021-03-27 02:00:00;Chernjavskiy M. (Rus);Ovechkin S. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_2J1FmrFi;Finalizado;2021-03-27 02:15:00;Bazilevskii V. (Rus);Tolmachev I. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 4, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_rFUlXMUA;Finalizado;2021-03-27 02:15:00;Zubkov V. (Rus);Sinkovskiy V. (Rus);1;3;[{'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 7, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_I3B2oWHu;Finalizado;2021-03-27 00:00:00;Chernjavskiy M. (Rus);Vshivkov P. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 5}, {'home': 12, 'away': 14}];;
Liga Pro (Rusia);1;g_25_xzPkpML5;Finalizado;2021-03-27 00:00:00;Bazilevskii V. (Rus);Klavdenkov A. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_Y1Ibr0jI;Finalizado;2021-03-27 00:00:00;Klimentev V. (Rus);Savinskiy A. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_dfA6pjXo;Finalizado;2021-03-27 03:00:00;Merezhko A. (Rus);Ovechkin S. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 12, 'away': 14}, {'home': 11, 'away': 7}, {'home': 4, 'away': 11}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_6FG6tvLU;Finalizado;2021-03-27 03:15:00;Sinkovskiy V. (Rus);Zubkov V. (Rus);1;3;[{'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}, {'home': 13, 'away': 15}];;
Liga Pro (Rusia);1;g_25_KbEfqtyC;Finalizado;2021-03-27 03:15:00;Tolmachev I. (Rus);Olshakov K. (Rus);2;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_jJSwWzYr;Finalizado;2021-03-27 03:30:00;Chernov V. (Rus);Agapov A. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}];1.9;1.67
