league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Bundesliga (Alemania) - Play Offs;1;g_25_4Ex8XpqP;Finalizado;2021-03-28 08:00:00;Grunwettersbach;Düsseldorf;0;3;[];;
Bundesliga (Alemania) - Play Offs;1;g_25_E9eEzeEq;Finalizado;2021-03-28 08:00:00;Wang X. (Ger);Boll T. (Ger);0;3;[{'home': 6, 'away': 11}, {'home': 5, 'away': 11}, {'home': 8, 'away': 11}];;
Bundesliga (Alemania) - Play Offs;1;g_25_SCaIZETk;Finalizado;2021-03-28 08:20:00;Qiu D. (Ger);Kallberg A. (Swe);2;3;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 5}, {'home': 9, 'away': 11}];;
Bundesliga (Alemania) - Play Offs;1;g_25_MZbMYYrd;Finalizado;2021-03-28 08:40:00;Kozul D. (Slo);Karlsson K. (Swe);2;3;[{'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 13, 'away': 15}];;
Bundesliga (Alemania) - Play Offs;1;g_25_0QcQXhb2;;2021-03-28 09:00:00;Wang X. (Ger);Kallberg A. (Swe);0;0;[];;
Bundesliga (Alemania) - Play Offs;1;g_25_YDvJYGb2;Anulado;2021-03-28 09:20:00;Qiu D. (Ger);Boll T. (Ger);0;0;[];;
Liga Pro (Rusia);1;g_25_pYymN8ae;Finalizado;2021-03-28 00:15:00;Kryuchkov E. (Rus);Klavdenkov A. (Rus);2;3;[{'home': 12, 'away': 14}, {'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_UazGUj7L;Finalizado;2021-03-28 00:00:00;Gancev S. (Rus);Kononenko A. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_QVLoPUUr;Finalizado;2021-03-28 00:15:00;Marchenko M. (Rus);Kharlakin O. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 14, 'away': 12}];;
Liga Pro (Rusia);1;g_25_Shmzmgvm;Finalizado;2021-03-28 00:45:00;Iskenderov I. (Rus);Marchenko M. (Rus);3;2;[{'home': 11, 'away': 5}, {'home': 10, 'away': 12}, {'home': 5, 'away': 11}, {'home': 11, 'away': 2}, {'home': 12, 'away': 10}];;
