league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Bundesliga (Alemania);1;g_25_0CUYUlBf;Finalizado;2021-02-07 00:00:00;Bad Homburg;Bergneustadt;0;3;[];;
Bundesliga (Alemania);1;g_25_fFRQWAtr;Finalizado;2021-02-07 00:00:00;Bad Konigshofen;Muhlhausen;3;1;[];;
Bundesliga (Alemania);1;g_25_AsjfxXIK;Finalizado;2021-02-07 00:00:00;Bremen;Saarbrücken;0;3;[];;
Bundesliga (Alemania);1;g_25_t8ojwD3E;Finalizado;2021-02-07 00:00:00;Düsseldorf;Neu-Ulm;3;1;[];;
Bundesliga (Alemania);1;g_25_lYlbyiYQ;Finalizado;2021-02-07 00:00:00;Fulda-Maberzell;Grenzau;2;3;[];;
Bundesliga (Alemania);1;g_25_6kVUVUel;Finalizado;2021-02-07 00:00:00;Grunwettersbach;Ochsenhausen;1;3;[];;
Bundesliga (Alemania);1;g_25_QNw5Xrzo;Finalizado;2021-02-07 00:00:00;Aruna Q. (Nga);Pletea C. (Rou);3;2;[{'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 11, 'away': 6}];;
Bundesliga (Alemania);1;g_25_QaeItmDb;Finalizado;2021-02-07 00:00:00;Boll T. (Ger);Apolonia T. (Por);2;3;[{'home': 11, 'away': 5}, {'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 10, 'away': 12}];;
Bundesliga (Alemania);1;g_25_GllVwocH;Finalizado;2021-02-07 00:00:00;Falck M. (Swe);Franziska P. (Ger);2;3;[{'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 3, 'away': 11}];;
Bundesliga (Alemania);1;g_25_EqGef6sb;Finalizado;2021-02-07 00:00:00;Qiu D. (Ger);Gauzy S. (Fra);0;3;[{'home': 11, 'away': 13}, {'home': 5, 'away': 11}, {'home': 9, 'away': 11}];;
Bundesliga (Alemania);1;g_25_l288i4RG;Finalizado;2021-02-07 00:00:00;Sipos R. (Rou);Robles A. (Esp);2;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}];;
Bundesliga (Alemania);1;g_25_29lqo24p;Finalizado;2021-02-07 00:00:00;Steger B. (Ger);Ionescu O. (Rou);3;1;[{'home': 15, 'away': 13}, {'home': 11, 'away': 6}, {'home': 5, 'away': 11}, {'home': 11, 'away': 4}];;
Bundesliga (Alemania);1;g_25_hzFagQd4;Finalizado;2021-02-07 00:00:00;Kozul D. (Slo);Calderano H. (Bra);0;3;[{'home': 6, 'away': 11}, {'home': 10, 'away': 12}, {'home': 5, 'away': 11}];;
Bundesliga (Alemania);1;g_25_SSHmdSCo;Finalizado;2021-02-07 00:00:00;Filus R. (Ger);Sgouropoulos I. (Gre);3;1;[{'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 14, 'away': 12}, {'home': 11, 'away': 6}];;
