league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Win Cup (Ucrania);1;g_25_OhGUzJWr;Finalizado;2020-12-29;Kovorotushin E. (Ukr);Ptitsyn D. (Ukr);1;3;[{'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}];;
Win Cup (Ucrania);1;g_25_jFnRZxnk;Finalizado;2020-12-29;Kushko D. (Ukr);Kidalov V. (Ukr);2;3;[{'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 12, 'away': 14}, {'home': 1, 'away': 11}];;
Win Cup (Ucrania);1;g_25_U5oVYd1e;Finalizado;2020-12-29;Kidalov V. (Ukr);Ptitsyn D. (Ukr);2;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_n39fbYo4;Finalizado;2020-12-29;Kutniy I. (Ukr);Oplachko A. (Ukr);1;3;[{'home': 4, 'away': 11}, {'home': 11, 'away': 4}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}];;
Win Cup (Ucrania);1;g_25_Q1bIQJjo;Finalizado;2020-12-29;Bratukhin Y. (Ukr);Kiyanov A. (Ukr);1;3;[{'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_06ZTCX0c;Finalizado;2020-12-29;Isakov V. (Ukr);Oplachko A. (Ukr);1;3;[{'home': 4, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 10, 'away': 12}];;
Win Cup (Ucrania);1;g_25_Ieo4lNrh;Finalizado;2020-12-29;Kievskiy Y. (Ukr);Komendant Y. (Ukr);3;2;[{'home': 11, 'away': 13}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 15, 'away': 17}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_OSpZXGG1;Finalizado;2020-12-29;Kushko D. (Ukr);Kovorotushin E. (Ukr);2;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 16, 'away': 18}];;
Win Cup (Ucrania);1;g_25_zXu9msbb;Finalizado;2020-12-29;Gedz V. (Ukr);Zakharov Y. (Ukr);2;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 4}, {'home': 10, 'away': 12}, {'home': 11, 'away': 6}, {'home': 5, 'away': 11}];;
Win Cup (Ucrania);1;g_25_fTYXBiG3;Finalizado;2020-12-29;Kutniy I. (Ukr);Isakov V. (Ukr);2;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 2}, {'home': 13, 'away': 11}, {'home': 10, 'away': 12}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_v5n0k3To;Finalizado;2020-12-29;Yurkov D. (Ukr);Dyakov V. (Ukr);3;2;[{'home': 11, 'away': 2}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 13, 'away': 11}];;
Win Cup (Ucrania);1;g_25_lI4iqmO9;Finalizado;2020-12-29;Bratukhin Y. (Ukr);Dyakov V. (Ukr);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 4}, {'home': 9, 'away': 11}, {'home': 13, 'away': 11}, {'home': 11, 'away': 5}];;
Win Cup (Ucrania);1;g_25_MNpSeQ7F;Finalizado;2020-12-29;Kievskiy Y. (Ukr);Zakharov Y. (Ukr);0;3;[{'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}];;
Win Cup (Ucrania);1;g_25_YJXyBBV9;Finalizado;2020-12-29;Oleksenko B. (Ukr);Oplachko A. (Ukr);2;3;[{'home': 6, 'away': 11}, {'home': 13, 'away': 11}, {'home': 6, 'away': 11}, {'home': 13, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_lfnPqacN;Finalizado;2020-12-29;Sharpay V. (Ukr);Boychuk V. (Ukr);3;2;[{'home': 10, 'away': 12}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_SpoTrJCT;Finalizado;2020-12-29;Dotsenko V. (Ukr);Shapovalov O. (Ukr);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 3}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_EJ8evbxr;Finalizado;2020-12-29;Gedz V. (Ukr);Komendant Y. (Ukr);3;1;[{'home': 11, 'away': 5}, {'home': 7, 'away': 11}, {'home': 13, 'away': 11}, {'home': 13, 'away': 11}];;
Win Cup (Ucrania);1;g_25_lWVPDDoi;Finalizado;2020-12-29;Kutniy I. (Ukr);Oleksenko B. (Ukr);3;1;[{'home': 9, 'away': 11}, {'home': 13, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 4}];;
Win Cup (Ucrania);1;g_25_UTLlr7wG;Finalizado;2020-12-29;Yurkov D. (Ukr);Kiyanov A. (Ukr);1;3;[{'home': 11, 'away': 7}, {'home': 5, 'away': 11}, {'home': 11, 'away': 13}, {'home': 6, 'away': 11}];;
Win Cup (Ucrania);1;g_25_8KKhsRhM;Finalizado;2020-12-29;Bratukhin Y. (Ukr);Yurkov D. (Ukr);1;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}];;
Win Cup (Ucrania);1;g_25_tQ8bch1A;Finalizado;2020-12-29;Isakov V. (Ukr);Oleksenko B. (Ukr);3;2;[{'home': 3, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_hA7awIil;Finalizado;2020-12-29;Kievskiy Y. (Ukr);Gedz V. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_6yUBC9lO;Finalizado;2020-12-29;Sharpay V. (Ukr);Shapovalov O. (Ukr);2;3;[{'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}, {'home': 16, 'away': 18}, {'home': 3, 'away': 11}];;
Win Cup (Ucrania);1;g_25_4MnFBT3U;Finalizado;2020-12-29;Dotsenko V. (Ukr);Boychuk V. (Ukr);2;3;[{'home': 14, 'away': 12}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 3, 'away': 11}];;
Win Cup (Ucrania);1;g_25_2sKdto8S;Finalizado;2020-12-29;Dyakov V. (Ukr);Kiyanov A. (Ukr);1;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 2, 'away': 11}];;
Win Cup (Ucrania);1;g_25_jeStAVpG;Finalizado;2020-12-29;Oplachko A. (Ukr);Kutniy I. (Ukr);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_Ao24xx7f;Finalizado;2020-12-29;Zakharov Y. (Ukr);Komendant Y. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 9}];;
