league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Win Cup (Ucrania);1;g_25_d8yvpKsg;Finalizado;2020-12-31;Khorolsky V. (Rus);Lazebny R. (Ukr);2;3;[{'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}];;
Win Cup (Ucrania);1;g_25_OU7zqvca;Finalizado;2020-12-31;Novikov Y. (Ukr);Vavrenyuk S. (Ukr);3;0;[{'home': 11, 'away': 2}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_AoAntxsI;Finalizado;2020-12-31;Isakov V. (Ukr);Derevynskyi D. (Ukr);3;2;[{'home': 8, 'away': 11}, {'home': 13, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_2L6vrbC5;Finalizado;2020-12-31;Vavrenyuk S. (Ukr);Lazebny R. (Ukr);3;2;[{'home': 14, 'away': 12}, {'home': 11, 'away': 2}, {'home': 2, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_rsk3sC34;Finalizado;2020-12-31;Boychuk V. (Ukr);Strelets V. (Ukr);3;2;[{'home': 11, 'away': 4}, {'home': 9, 'away': 11}, {'home': 11, 'away': 13}, {'home': 11, 'away': 6}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_pnJYRW3H;Finalizado;2020-12-31;Butkov M. (Ukr);Metelskiy V. (Ukr);1;3;[{'home': 11, 'away': 4}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_dr6rsIRB;Finalizado;2020-12-31;Novikov Y. (Ukr);Khorolsky V. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 1}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_Ia3ofkmA;Finalizado;2020-12-31;Sukovatiy I. (Ukr);Elkhov A. (Ukr);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 12, 'away': 10}];;
Win Cup (Ucrania);1;g_25_Q7uCOccP;Finalizado;2020-12-31;Kovrikov A. (Ukr);Babenko P. (Ukr);1;3;[{'home': 3, 'away': 11}, {'home': 11, 'away': 13}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_hAaiuddO;Finalizado;2020-12-31;Isakov V. (Ukr);Metelskiy V. (Ukr);3;2;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 12, 'away': 14}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_pC2P0f5I;Finalizado;2020-12-31;Nemchenko D. (Ukr);Tsubera R. (Ukr);3;1;[{'home': 11, 'away': 4}, {'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_be4H2Gz6;Finalizado;2020-12-31;Sharpay V. (Ukr);Gotsulyak E. (Ukr);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];;
