league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Liga Pro (Rusia);1;g_25_0bTQJh3G;3er Set;2021-02-16 00:30:00;Chernjavskiy M. (Rus);Vshivkov P. (Rus);0;2;[{'home': 6, 'away': 11}, {'home': 11, 'away': 13}, {'home': 0, 'away': 0}];1.53;2.26
Challenger Series (Alemania);1;g_25_vFcLQm3f;Anulado;2021-02-16 00:00:00;Huzjak J. (Cro);Burgos N. (Chi);0;0;[];;
Challenger Series (Alemania);1;g_25_hI1PP7I0;;2021-02-16 03:40:00;Wetzel F. (Ger);Martinko J. (Cze);0;0;[];;
Challenger Series (Alemania);1;g_25_zsiUORX6;;2021-02-16 04:20:00;Gonzalez E. (Ger);Klein D. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_EXkYNomD;Anulado;2021-02-16 00:00:00;Pelz P. (Ger);Burgos N. (Chi);0;0;[];;
Challenger Series (Alemania);1;g_25_2mqGnVPD;;2021-02-16 05:40:00;Sanchi F. (Arg);Klein D. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_tvrKokuK;;2021-02-16 06:20:00;Huzjak J. (Cro);Gonzalez E. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_O2XOp9fQ;;2021-02-16 07:00:00;Wetzel F. (Ger);Sanchi F. (Arg);0;0;[];;
Challenger Series (Alemania);1;g_25_p6wjtT2s;;2021-02-16 07:40:00;Pelz P. (Ger);Martinko J. (Cze);0;0;[];;
Liga Pro (Rusia);1;g_25_YkAojNrJ;Finalizado;2021-02-16 00:00:00;Vshivkov P. (Rus);Sergeevich I. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 12, 'away': 14}, {'home': 11, 'away': 9}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_hhh4XBXF;Finalizado;2021-02-16 00:00:00;Gribkov A. (Rus);Simonov S. (Rus);0;3;[{'home': 8, 'away': 11}, {'home': 10, 'away': 12}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_0d2XDQzQ;Finalizado;2021-02-16 00:00:00;Lisov A. (Rus);Tolmachev I. (Rus);0;3;[{'home': 5, 'away': 11}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_S8D5CAej;;2021-02-16 00:45:00;Klavdenkov A. (Rus);Lisov A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_ATn9WVnM;;2021-02-16 00:45:00;Yanshaev A. (Rus);Gribkov A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_E1XUICIM;;2021-02-16 01:00:00;Sergeevich I. (Rus);Andreev A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_6wu09pqs;;2021-02-16 01:15:00;Simonov S. (Rus);Razinkov D. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_6aC9BUAd;;2021-02-16 01:15:00;Tolmachev I. (Rus);Minchenkov M. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_dQMZHWXS;;2021-02-16 01:30:00;Andreev A. (Rus);Vshivkov P. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_84jhzEmc;;2021-02-16 01:45:00;Minchenkov M. (Rus);Lisov A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_lKoDVk2S;;2021-02-16 01:45:00;Razinkov D. (Rus);Gribkov A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_bZ81Djtp;;2021-02-16 02:00:00;Chernjavskiy M. (Rus);Sergeevich I. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_KvfdZX23;;2021-02-16 02:15:00;Klavdenkov A. (Rus);Tolmachev I. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_6aYvR9Aq;;2021-02-16 02:15:00;Yanshaev A. (Rus);Simonov S. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_K2xqQTPk;;2021-02-16 03:30:00;Tsitselskii A. (Rus);Mikheev D. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_hfw87ODg;;2021-02-16 03:45:00;Medvedev P. (Rus);Rachkov V. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_dlmNwmfk;;2021-02-16 03:45:00;Simonov K. (Rus);Lanovenko S. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_2RRmPmud;;2021-02-16 04:00:00;Kobytov R. (Rus);Troyanov Y. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_E9RG52r6;;2021-02-16 04:15:00;Kolmin A. (Rus);Karpovkin G. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_WpxC6rTa;;2021-02-16 04:15:00;Mohnachev A. (Rus);Gerasimov A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_tIQiO7f2;;2021-02-16 04:30:00;Mikheev D. (Rus);Kobytov R. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_zunRx79e;;2021-02-16 04:45:00;Lanovenko S. (Rus);Kolmin A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_Uw3roV1F;;2021-02-16 04:45:00;Rachkov V. (Rus);Mohnachev A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_pUw484bm;;2021-02-16 05:00:00;Troyanov Y. (Rus);Tsitselskii A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_rs7npkHL;;2021-02-16 05:15:00;Gerasimov A. (Rus);Medvedev P. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_U1oVyRO1;;2021-02-16 05:15:00;Karpovkin G. (Rus);Simonov K. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_8OEZniX2;;2021-02-16 05:30:00;Tsitselskii A. (Rus);Kobytov R. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_x46jq9WR;;2021-02-16 05:45:00;Medvedev P. (Rus);Mohnachev A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_Sn4Yzov8;;2021-02-16 05:45:00;Simonov K. (Rus);Kolmin A. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_nFDwnBn9;;2021-02-16 06:00:00;Mikheev D. (Rus);Troyanov Y. (Rus);0;0;[];;
