;league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
128;Liga Pro (Rusia);1;g_25_ObRCaWu5;Finalizado;2021-01-28 00:00:00;Zhurba N. (Rus);Tsybikov Z. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}];1.27;3.25
129;Liga Pro (Rusia);1;g_25_MNWD26wH;Finalizado;2021-01-28 00:00:00;Ilin A. (Rus);Ilyukhin E. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 3, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}];1.47;2.42
130;Liga Pro (Rusia);1;g_25_zRdmH5hA;Finalizado;2021-01-28 00:00:00;Ivanov Va. (Rus);Yusipov T. (Rus);0;3;[{'home': 4, 'away': 11}, {'home': 6, 'away': 11}, {'home': 9, 'away': 11}];1.98;1.68
131;Liga Pro (Rusia);1;g_25_x2VGbjeB;Finalizado;2021-01-28 00:00:00;Uezdin A. (Rus);Serebrennikov A. (Rus);3;1;[{'home': 11, 'away': 4}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 14, 'away': 12}];1.96;1.7
132;Liga Pro (Rusia);1;g_25_GpWH1QhN;Finalizado;2021-01-28 00:00:00;Minkov M. (Rus);Suntsov A. (Rus);3;2;[{'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 11, 'away': 4}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}];1.42;2.55
133;Liga Pro (Rusia);1;g_25_UmdiGP7G;Finalizado;2021-01-28 00:00:00;Petrochenko D. (Rus);Volkov A. (Rus);2;3;[{'home': 11, 'away': 3}, {'home': 10, 'away': 12}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];1.43;2.52
134;Liga Pro (Rusia);1;g_25_KQKLcAAH;Finalizado;2021-01-28 00:00:00;Tsybikov Z. (Rus);Ignatiev D. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 11, 'away': 2}];3.0;1.3
135;Liga Pro (Rusia);1;g_25_UmzM0p8T;Finalizado;2021-01-28 00:00:00;Ilyukhin E. (Rus);Sukharnikov N. (Rus);3;0;[{'home': 13, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 5}];1.83;1.83
136;Liga Pro (Rusia);1;g_25_8veeFqNM;Finalizado;2021-01-28 00:00:00;Yusipov T. (Rus);Shagarov O. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 13, 'away': 15}];2.58;1.4
137;Liga Pro (Rusia);1;g_25_djrktrup;Finalizado;2021-01-28 00:00:00;Uezdin A. (Rus);Zhurba N. (Rus);0;3;[{'home': 7, 'away': 11}, {'home': 5, 'away': 11}, {'home': 5, 'away': 11}];2.3;1.5
138;Liga Pro (Rusia);1;g_25_zVCld4Gp;Finalizado;2021-01-28 00:00:00;Minkov M. (Rus);Ilin A. (Rus);3;1;[{'home': 11, 'away': 4}, {'home': 4, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}];2.3;1.5
139;Liga Pro (Rusia);1;g_25_QPngu2fj;Finalizado;2021-01-28 00:00:00;Ignatiev D. (Rus);Serebrennikov A. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 15, 'away': 13}, {'home': 2, 'away': 11}];2.26;1.53
140;Liga Pro (Rusia);1;g_25_QFk0E3xT;Finalizado;2021-01-28 00:00:00;Volkov A. (Rus);Ivanov Va. (Rus);3;2;[{'home': 21, 'away': 19}, {'home': 3, 'away': 11}, {'home': 11, 'away': 9}, {'home': 14, 'away': 16}, {'home': 11, 'away': 7}];1.58;2.15
141;Liga Pro (Rusia);1;g_25_ELBheOVj;Finalizado;2021-01-28 00:00:00;Sukharnikov N. (Rus);Suntsov A. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 9, 'away': 11}, {'home': 15, 'away': 13}];1.52;2.28
142;Liga Pro (Rusia);1;g_25_SOyS9Npp;Finalizado;2021-01-28 00:00:00;Yusipov T. (Rus);Petrochenko D. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 3, 'away': 11}, {'home': 6, 'away': 11}];2.77;1.36
143;Liga Pro (Rusia);1;g_25_Q7DDfipt;Finalizado;2021-01-28 00:00:00;Zhurba N. (Rus);Ignatiev D. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}];;
144;Liga Pro (Rusia);1;g_25_Mgm3zlaO;Finalizado;2021-01-28 00:00:00;Ilyukhin E. (Rus);Ilin A. (Rus);3;1;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 14, 'away': 12}];;
145;Liga Pro (Rusia);1;g_25_fw2U4y3m;Finalizado;2021-01-28 00:00:00;Ivanov Va. (Rus);Shagarov O. (Rus);2;3;[{'home': 12, 'away': 10}, {'home': 2, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}];1.63;2.08
146;Liga Pro (Rusia);1;g_25_vBHHgBan;Finalizado;2021-01-28 00:00:00;Serebrennikov A. (Rus);Tsybikov Z. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];;
147;Liga Pro (Rusia);1;g_25_0pn7Z7EU;Finalizado;2021-01-28 00:00:00;Minkov M. (Rus);Sukharnikov N. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 13, 'away': 15}, {'home': 11, 'away': 9}, {'home': 3, 'away': 11}, {'home': 4, 'away': 11}];;
148;Liga Pro (Rusia);1;g_25_O6FSuZk1;;2021-01-28 23:30:00;Sergeevich I. (Rus);Kolmin A. (Rus);0;0;[];2.55;1.42
149;Liga Pro (Rusia);1;g_25_ITEWvg57;;2021-01-28 23:45:00;Gavrilov Y. (Ukr);Arutiunyan A. (Rus);0;0;[];1.6;2.1
150;Liga Pro (Rusia);1;g_25_U7fTvyLD;;2021-01-28 23:45:00;Mishutin E. (Rus);Lisov A. (Rus);0;0;[];2.28;1.52
151;Setka Cup (Ucrania);1;g_25_ObLPFFYn;Finalizado;2021-01-28 00:00:00;Trydukh I. (Ukr);Marchuk M. (Ukr);0;3;[{'home': 3, 'away': 11}, {'home': 17, 'away': 19}, {'home': 3, 'away': 11}];1.42;2.55
152;Setka Cup (Ucrania);1;g_25_jBWUXKEq;Finalizado;2021-01-28 00:00:00;Hot S. (Ukr);Prus S. (Ukr);2;3;[{'home': 11, 'away': 13}, {'home': 3, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}];;
153;Setka Cup (Ucrania);1;g_25_2muYERdT;Finalizado;2021-01-28 00:00:00;Zholubak M. (Ukr);Kalachevskyi D. (Ukr);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];3.2;1.28
154;Setka Cup (Ucrania);1;g_25_Mce7TQBM;Finalizado;2021-01-28 00:00:00;Mukhin V. (Ukr);Dynaburg L. (Ukr);2;3;[{'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 10, 'away': 12}, {'home': 5, 'away': 11}];;
155;Setka Cup (Ucrania);1;g_25_W0EmcdWJ;Finalizado;2021-01-28 00:00:00;Kurischenko Y. (Ukr);Yurkov A. (Ukr);3;2;[{'home': 11, 'away': 8}, {'home': 3, 'away': 11}, {'home': 13, 'away': 11}, {'home': 12, 'away': 14}, {'home': 11, 'away': 8}];;
156;Setka Cup (Ucrania);1;g_25_YZLZWvUk;Finalizado;2021-01-28 00:00:00;Ponomarov S. (Ukr);Demko Z. (Ukr);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 3}];;
157;Setka Cup (Ucrania);1;g_25_8UH0Ao5p;Finalizado;2021-01-28 00:00:00;Pysar D. (Ukr);Ratushniak V. (Ukr);3;0;[{'home': 11, 'away': 3}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}];1.16;4.25
158;Setka Cup (Ucrania);1;g_25_AiDidGoQ;Finalizado;2021-01-28 00:00:00;Mishchenko V. (Ukr);Vlasenko V. (Ukr);1;3;[{'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];1.8;1.84
159;Setka Cup (Ucrania);1;g_25_lOskbrGK;Finalizado;2021-01-28 00:00:00;Melnykov V. (Ukr);Lymarenko O. (Ukr);2;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 9}, {'home': 2, 'away': 11}, {'home': 8, 'away': 11}];;
160;Setka Cup (Ucrania);1;g_25_lKVC1BN5;Finalizado;2021-01-28 00:00:00;Lytvynov V. (Ukr);Onischenko R. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 3}, {'home': 11, 'away': 5}];;
161;Setka Cup (Ucrania);1;g_25_CQKwWbqd;Finalizado;2021-01-28 00:00:00;Tebenko Y. (Ukr);Serediuk M. (Ukr);3;1;[{'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];;
162;Setka Cup (Ucrania);1;g_25_021fx1g1;Finalizado;2021-01-28 00:00:00;Rybka A. (Ukr);Kalachevskyi D. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 10, 'away': 12}, {'home': 12, 'away': 10}, {'home': 11, 'away': 13}];2.4;1.48
163;Setka Cup (Ucrania);1;g_25_hdlt04o8;Finalizado;2021-01-28 00:00:00;Burdelnyi S. (Ukr);Solomko S. (Ukr);1;3;[{'home': 11, 'away': 7}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}, {'home': 10, 'away': 12}];;
164;Setka Cup (Ucrania);1;g_25_SWaJizfs;Finalizado;2021-01-28 00:00:00;Teteruk M. (Ukr);Kurchitsky V. (Ukr);3;1;[{'home': 12, 'away': 10}, {'home': 11, 'away': 8}, {'home': 4, 'away': 11}, {'home': 11, 'away': 7}];;
165;Setka Cup (Ucrania);1;g_25_SEtgc2VQ;Finalizado;2021-01-28 00:00:00;Kozlov D. (Ukr);Mytsyk A. (Ukr);3;2;[{'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 9}];1.73;1.93
166;Setka Cup (Ucrania);1;g_25_0tELfrMd;Finalizado;2021-01-28 00:00:00;Hot S. (Ukr);Demko Z. (Ukr);3;1;[{'home': 12, 'away': 10}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 11, 'away': 4}];;
167;Setka Cup (Ucrania);1;g_25_6ahpaO0E;Finalizado;2021-01-28 00:00:00;Vasko V. (Ukr);Klymenko K. (Ukr);1;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 6, 'away': 11}];2.4;1.48
168;Setka Cup (Ucrania);1;g_25_WrLH0VxC;Finalizado;2021-01-28 00:00:00;Yemelianov T. (Ukr);Pitsyk S. (Ukr);3;1;[{'home': 14, 'away': 16}, {'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
169;Setka Cup (Ucrania);1;g_25_vZkCSpRS;Finalizado;2021-01-28 00:00:00;Mukhin V. (Ukr);Solomko S. (Ukr);1;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 1, 'away': 11}];2.4;1.48
170;Setka Cup (Ucrania);1;g_25_vg0byL87;Finalizado;2021-01-28 00:00:00;Zholubak M. (Ukr);Pysar D. (Ukr);1;3;[{'home': 5, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 4, 'away': 11}];5.3;1.1
171;Setka Cup (Ucrania);1;g_25_tz4Njf9m;Finalizado;2021-01-28 00:00:00;Kurischenko Y. (Ukr);Vlasenko V. (Ukr);1;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 5}, {'home': 10, 'away': 12}, {'home': 9, 'away': 11}];;
172;Setka Cup (Ucrania);1;g_25_bcTKhMwr;Finalizado;2021-01-28 00:00:00;Gubanisev O. (Ukr);Arevkin T. (Ukr);0;3;[{'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];2.06;1.64
173;Setka Cup (Ucrania);1;g_25_vXCPg2y3;Finalizado;2021-01-28 00:00:00;Serediuk M. (Ukr);Prus S. (Ukr);2;3;[{'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 2, 'away': 11}];1.7;1.96
174;Setka Cup (Ucrania);1;g_25_xlSOitgl;Finalizado;2021-01-28 00:00:00;Kuvaiev R. (Ukr);Oranskyi I. (Ukr);3;2;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 5, 'away': 11}, {'home': 11, 'away': 6}];2.82;1.35
175;Setka Cup (Ucrania);1;g_25_nLG495Kj;Finalizado;2021-01-28 00:00:00;Rybka A. (Ukr);Ratushniak V. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 2}];1.27;3.25
176;Setka Cup (Ucrania);1;g_25_trxvO4Zq;Finalizado;2021-01-28 00:00:00;Klymenko K. (Ukr);Dynaburg L. (Ukr);0;3;[{'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 3, 'away': 11}];3.25;1.27
177;Setka Cup (Ucrania);1;g_25_ObgSkEOg;Finalizado;2021-01-28 00:00:00;Kurchitsky V. (Ukr);Yurkov A. (Ukr);3;1;[{'home': 13, 'away': 11}, {'home': 14, 'away': 12}, {'home': 7, 'away': 11}, {'home': 11, 'away': 4}];;
178;Setka Cup (Ucrania);1;g_25_Uy8JMFf7;Finalizado;2021-01-28 00:00:00;Melnykov V. (Ukr);Mytsyk A. (Ukr);3;2;[{'home': 11, 'away': 8}, {'home': 2, 'away': 11}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}];2.08;1.63
179;Setka Cup (Ucrania);1;g_25_KCHTj08f;Finalizado;2021-01-28 00:00:00;Lytvynov V. (Ukr);Pitsyk S. (Ukr);0;3;[{'home': 9, 'away': 11}, {'home': 2, 'away': 11}, {'home': 9, 'away': 11}];1.6;2.1
180;Setka Cup (Ucrania);1;g_25_Me2UhMj9;Finalizado;2021-01-28 00:00:00;Ponomarov S. (Ukr);Tebenko Y. (Ukr);1;3;[{'home': 10, 'away': 12}, {'home': 5, 'away': 11}, {'home': 11, 'away': 7}, {'home': 9, 'away': 11}];;
181;Setka Cup (Ucrania);1;g_25_ER4nYlci;Finalizado;2021-01-28 00:00:00;Pysar D. (Ukr);Kalachevskyi D. (Ukr);3;2;[{'home': 11, 'away': 4}, {'home': 11, 'away': 9}, {'home': 2, 'away': 11}, {'home': 7, 'away': 11}, {'home': 12, 'away': 10}];1.14;4.6
182;Setka Cup (Ucrania);1;g_25_z5yrNOlj;Finalizado;2021-01-28 00:00:00;Burdelnyi S. (Ukr);Vasko V. (Ukr);1;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 12, 'away': 14}];2.15;1.58
183;Setka Cup (Ucrania);1;g_25_2khWlYw0;Finalizado;2021-01-28 00:00:00;Mishchenko V. (Ukr);Teteruk M. (Ukr);3;2;[{'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}, {'home': 11, 'away': 7}];2.15;1.58
184;Setka Cup (Ucrania);1;g_25_8S6NLZ9D;Finalizado;2021-01-28 00:00:00;Arevkin T. (Ukr);Lymarenko O. (Ukr);3;1;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}];;
185;Setka Cup (Ucrania);1;g_25_KtLXit6F;Finalizado;2021-01-28 00:00:00;Hot S. (Ukr);Serediuk M. (Ukr);1;3;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 12, 'away': 14}, {'home': 8, 'away': 11}];;
186;Setka Cup (Ucrania);1;g_25_AZJLakhI;Finalizado;2021-01-28 00:00:00;Oranskyi I. (Ukr);Onischenko R. (Ukr);2;3;[{'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 8, 'away': 11}];;
187;Setka Cup (Ucrania);1;g_25_hI3jX8Cc;Finalizado;2021-01-28 00:00:00;Zholubak M. (Ukr);Ratushniak V. (Ukr);0;3;[{'home': 2, 'away': 11}, {'home': 5, 'away': 11}, {'home': 3, 'away': 11}];2.55;1.42
188;Setka Cup (Ucrania);1;g_25_YkfoMr4d;Finalizado;2021-01-28 00:00:00;Mukhin V. (Ukr);Klymenko K. (Ukr);1;3;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}];3.5;1.23
189;Setka Cup (Ucrania);1;g_25_dQ6Zmhg6;Finalizado;2021-01-28 00:00:00;Kurischenko Y. (Ukr);Kurchitsky V. (Ukr);1;3;[{'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}];;
190;Setka Cup (Ucrania);1;g_25_MVf5pJnE;Finalizado;2021-01-28 00:00:00;Kozlov D. (Ukr);Gubanisev O. (Ukr);3;1;[{'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}];1.78;1.88
191;Setka Cup (Ucrania);1;g_25_E3Kyi0LL;Finalizado;2021-01-28 00:00:00;Tebenko Y. (Ukr);Demko Z. (Ukr);2;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}];;
192;Setka Cup (Ucrania);1;g_25_v9OPb97O;Finalizado;2021-01-28 00:00:00;Yemelianov T. (Ukr);Kuvaiev R. (Ukr);2;3;[{'home': 12, 'away': 14}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 3}, {'home': 7, 'away': 11}];1.6;2.1
193;Setka Cup (Ucrania);1;g_25_zsgeWSR3;Finalizado;2021-01-28 00:00:00;Rybka A. (Ukr);Pysar D. (Ukr);1;3;[{'home': 5, 'away': 11}, {'home': 13, 'away': 11}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}];5.3;1.1
194;Setka Cup (Ucrania);1;g_25_zeYTpStc;Finalizado;2021-01-28 00:00:00;Vasko V. (Ukr);Solomko S. (Ukr);3;1;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}];2.17;1.57
195;Setka Cup (Ucrania);1;g_25_zH5wmC8C;Finalizado;2021-01-28 00:00:00;Teteruk M. (Ukr);Vlasenko V. (Ukr);3;1;[{'home': 9, 'away': 11}, {'home': 18, 'away': 16}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
196;Setka Cup (Ucrania);1;g_25_zZb9qw2K;Finalizado;2021-01-28 00:00:00;Melnykov V. (Ukr);Arevkin T. (Ukr);2;3;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 6, 'away': 11}, {'home': 6, 'away': 11}];2.82;1.35
197;Setka Cup (Ucrania);1;g_25_IaNTcTMU;Finalizado;2021-01-28 00:00:00;Lytvynov V. (Ukr);Oranskyi I. (Ukr);1;3;[{'home': 11, 'away': 3}, {'home': 10, 'away': 12}, {'home': 10, 'away': 12}, {'home': 6, 'away': 11}];2.06;1.64
198;Setka Cup (Ucrania);1;g_25_hfJujKzS;Finalizado;2021-01-28 00:00:00;Ponomarov S. (Ukr);Prus S. (Ukr);3;2;[{'home': 3, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];1.42;2.55
199;Setka Cup (Ucrania);1;g_25_lpcaVnsA;Finalizado;2021-01-28 00:00:00;Ratushniak V. (Ukr);Kalachevskyi D. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 15, 'away': 13}, {'home': 8, 'away': 11}, {'home': 10, 'away': 12}];2.22;1.55
200;Setka Cup (Ucrania);1;g_25_EoXXqnd3;Finalizado;2021-01-28 00:00:00;Burdelnyi S. (Ukr);Dynaburg L. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 5, 'away': 11}];1.67;2.02
201;Setka Cup (Ucrania);1;g_25_IuernWNI;Finalizado;2021-01-28 00:00:00;Mishchenko V. (Ukr);Yurkov A. (Ukr);3;2;[{'home': 13, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}];1.58;2.15
202;Setka Cup (Ucrania);1;g_25_IclErcHQ;Finalizado;2021-01-28 00:00:00;Gubanisev O. (Ukr);Mytsyk A. (Ukr);3;1;[{'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];1.78;1.88
203;Setka Cup (Ucrania);1;g_25_Ym18ovqq;Finalizado;2021-01-28 00:00:00;Hot S. (Ukr);Tebenko Y. (Ukr);0;3;[{'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 5, 'away': 11}];;
204;Setka Cup (Ucrania);1;g_25_vgnpeiGu;Finalizado;2021-01-28 00:00:00;Kuvaiev R. (Ukr);Pitsyk S. (Ukr);3;1;[{'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 13, 'away': 11}, {'home': 11, 'away': 5}];;
205;Setka Cup (Ucrania);1;g_25_r7d3U6dG;Finalizado;2021-01-28 00:00:00;Rybka A. (Ukr);Zholubak M. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}];;
206;Setka Cup (Ucrania);1;g_25_rLyxq6B9;Finalizado;2021-01-28 00:00:00;Mukhin V. (Ukr);Vasko V. (Ukr);1;3;[{'home': 3, 'away': 11}, {'home': 3, 'away': 11}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}];1.83;1.83
207;Setka Cup (Ucrania);1;g_25_K6ztvHPs;Finalizado;2021-01-28 00:00:00;Kozlov D. (Ukr);Lymarenko O. (Ukr);2;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 13, 'away': 11}, {'home': 3, 'away': 11}];;
208;Setka Cup (Ucrania);1;g_25_WranojwP;Finalizado;2021-01-28 00:00:00;Kurischenko Y. (Ukr);Teteruk M. (Ukr);3;0;[{'home': 13, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 2}];;
209;Setka Cup (Ucrania);1;g_25_Cv0Cpbbk;Finalizado;2021-01-28 00:00:00;Ponomarov S. (Ukr);Serediuk M. (Ukr);0;3;[{'home': 5, 'away': 11}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}];;
210;Setka Cup (Ucrania);1;g_25_YFLXkKN0;Finalizado;2021-01-28 00:00:00;Yemelianov T. (Ukr);Onischenko R. (Ukr);3;1;[{'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 11, 'away': 3}];;
211;Setka Cup (Ucrania);1;g_25_MBztrQQF;Finalizado;2021-01-28 00:00:00;Burdelnyi S. (Ukr);Klymenko K. (Ukr);1;3;[{'home': 6, 'away': 11}, {'home': 13, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 13}];1.68;1.98
212;Setka Cup (Ucrania);1;g_25_ltupwyul;Finalizado;2021-01-28 00:00:00;Melnykov V. (Ukr);Gubanisev O. (Ukr);1;3;[{'home': 11, 'away': 6}, {'home': 5, 'away': 11}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}];2.22;1.55
213;Setka Cup (Ucrania);1;g_25_pnmU9ZFP;Finalizado;2021-01-28 00:00:00;Mishchenko V. (Ukr);Kurchitsky V. (Ukr);2;3;[{'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 11, 'away': 4}, {'home': 7, 'away': 11}, {'home': 4, 'away': 11}];1.58;2.15
214;Setka Cup (Ucrania);1;g_25_61aGqIDe;Finalizado;2021-01-28 00:00:00;Demko Z. (Ukr);Prus S. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 11, 'away': 6}];;
215;Setka Cup (Ucrania);1;g_25_hdjlfBVo;Finalizado;2021-01-28 00:00:00;Lytvynov V. (Ukr);Kuvaiev R. (Ukr);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 8}, {'home': 11, 'away': 6}];1.88;1.78
216;Setka Cup (Ucrania);1;g_25_29lAQcer;Finalizado;2021-01-28 00:00:00;Solomko S. (Ukr);Dynaburg L. (Ukr);3;2;[{'home': 11, 'away': 4}, {'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 5, 'away': 11}, {'home': 11, 'away': 8}];2.98;1.32
217;Setka Cup (Ucrania);1;g_25_SWwlxeff;Finalizado;2021-01-28 00:00:00;Kozlov D. (Ukr);Arevkin T. (Ukr);3;2;[{'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}];1.58;2.15
218;Setka Cup (Ucrania);1;g_25_neZe5gOt;Finalizado;2021-01-28 00:00:00;Vlasenko V. (Ukr);Yurkov A. (Ukr);3;1;[{'home': 8, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];;
219;Setka Cup (Ucrania);1;g_25_K43KrxT1;Finalizado;2021-01-28 00:00:00;Hot S. (Ukr);Ponomarov S. (Ukr);0;3;[{'home': 5, 'away': 11}, {'home': 6, 'away': 11}, {'home': 3, 'away': 11}];;
220;Setka Cup (Ucrania);1;g_25_nJkhgVph;Finalizado;2021-01-28 00:00:00;Yemelianov T. (Ukr);Oranskyi I. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 9, 'away': 11}];1.32;2.95
221;Setka Cup (Ucrania);1;g_25_GChEPHAl;Finalizado;2021-01-28 00:00:00;Mukhin V. (Ukr);Burdelnyi S. (Ukr);0;3;[{'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];1.48;2.4
222;Setka Cup (Ucrania);1;g_25_4WT04Dwm;Finalizado;2021-01-28 00:00:00;Kurischenko Y. (Ukr);Mishchenko V. (Ukr);1;3;[{'home': 14, 'away': 16}, {'home': 7, 'away': 11}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}];2.4;1.48
223;Setka Cup (Ucrania);1;g_25_AeThyF90;Finalizado;2021-01-28 00:00:00;Mytsyk A. (Ukr);Lymarenko O. (Ukr);3;1;[{'home': 11, 'away': 9}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}];;
