league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Liga Pro (Rusia);1;g_25_drzGpOr3;Finalizado;2021-03-13 00:00:00;Vologzhanin V. (Rus);Belugin O. (Rus);3;2;[{'home': 11, 'away': 7}, {'home': 12, 'away': 14}, {'home': 9, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_nR7JLyBQ;Finalizado;2021-03-13 00:00:00;Klavdenkov A. (Rus);Bazilevskii V. (Rus);3;2;[{'home': 11, 'away': 13}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 4, 'away': 11}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_GpjHr2DF;Finalizado;2021-03-13 00:00:00;Klimentev V. (Rus);Marchenko M. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 5, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_WbNK0zZ0;Finalizado;2021-03-13 00:00:00;Bogomolov A. (Rus);Vologzhanin V. (Rus);0;3;[{'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_IFo2DDI6;Finalizado;2021-03-13 00:00:00;Doncenko A. (Rus);Klimentev V. (Rus);1;3;[{'home': 11, 'away': 8}, {'home': 5, 'away': 11}, {'home': 6, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_lzfoHeJs;Finalizado;2021-03-13 00:00:00;Kupryakov E. (Rus);Klavdenkov A. (Rus);1;3;[{'home': 11, 'away': 4}, {'home': 10, 'away': 12}, {'home': 7, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_QLMOafl7;Finalizado;2021-03-13 00:00:00;Belugin O. (Rus);Chernjavskiy M. (Rus);0;3;[{'home': 0, 'away': 11}, {'home': 6, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_WbqjGFYm;Finalizado;2021-03-13 00:00:00;Bazilevskii V. (Rus);Olshakov K. (Rus);3;2;[{'home': 11, 'away': 3}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_bR2aCXXC;Finalizado;2021-03-13 00:00:00;Marchenko M. (Rus);Shmakov A. (Rus);2;3;[{'home': 5, 'away': 11}, {'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 6}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_xdQSbE3D;Finalizado;2021-03-13 00:00:00;Chernjavskiy M. (Rus);Vologzhanin V. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 3, 'away': 11}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_p2mfFZmf;Finalizado;2021-03-13 00:00:00;Olshakov K. (Rus);Klavdenkov A. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_xI13BimJ;Finalizado;2021-03-13 00:00:00;Shmakov A. (Rus);Klimentev V. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_v14BNctE;Finalizado;2021-03-13 00:00:00;Bogomolov A. (Rus);Belugin O. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_lfEAJlut;Finalizado;2021-03-13 00:00:00;Doncenko A. (Rus);Marchenko M. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_vPnbEg30;Finalizado;2021-03-13 00:00:00;Kupryakov E. (Rus);Bazilevskii V. (Rus);2;3;[{'home': 11, 'away': 13}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_KEOregPJ;Finalizado;2021-03-13 00:00:00;Bogomolov A. (Rus);Belugin O. (Rus);2;3;[{'home': 4, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 5}, {'home': 13, 'away': 15}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_UmEIli2m;Finalizado;2021-03-13 00:00:00;Klimentev V. (Rus);Doncenko A. (Rus);3;1;[{'home': 12, 'away': 10}, {'home': 12, 'away': 10}, {'home': 10, 'away': 12}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_j32RnVWa;Finalizado;2021-03-13 00:00:00;Olshakov K. (Rus);Kupryakov E. (Rus);3;1;[{'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_b5NnfDvQ;Finalizado;2021-03-13 00:00:00;Vologzhanin V. (Rus);Chernjavskiy M. (Rus);3;2;[{'home': 6, 'away': 11}, {'home': 11, 'away': 3}, {'home': 11, 'away': 7}, {'home': 4, 'away': 11}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_Kx7Vokn6;Finalizado;2021-03-13 00:00:00;Bazilevskii V. (Rus);Klavdenkov A. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_CC3NmBHg;Finalizado;2021-03-13 00:00:00;Shmakov A. (Rus);Marchenko M. (Rus);2;3;[{'home': 12, 'away': 10}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 13, 'away': 15}, {'home': 1, 'away': 11}];;
