league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Extraliga (República Checa);1;g_25_fNPe8yRf;Finalizado;2021-01-09;Prague;TTC Ostrava;3;1;[];;
Extraliga (República Checa);1;g_25_YDOa7et1;Finalizado;2021-01-09;Havl. Brod;Liberec;3;0;[];;
Liga Pro (Rusia);1;g_25_O4pRYtPo;Finalizado;2021-01-09;Duka A. (Rus);Karpovkin G. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 14, 'away': 12}, {'home': 15, 'away': 17}];;
Liga Pro (Rusia);1;g_25_8hnwWv94;Finalizado;2021-01-09;Alov R. (Rus);Zabrodin A. (Rus);2;3;[{'home': 11, 'away': 8}, {'home': 11, 'away': 3}, {'home': 12, 'away': 14}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_8h21SHPQ;Finalizado;2021-01-09;Skotnikov S. (Rus);Nikiforov O. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_6TV4N7M1;Finalizado;2021-01-09;Bogomolov A. (Rus);Duka A. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_EZvUNyYs;Finalizado;2021-01-09;Olshakov K. (Rus);Skotnikov S. (Rus);3;1;[{'home': 11, 'away': 5}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_0jstLZH0;Finalizado;2021-01-09;Sinkovskiy V. (Rus);Alov R. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_I3Z8MRy8;Finalizado;2021-01-09;Karpovkin G. (Rus);Kononenko A. (Rus);3;1;[{'home': 10, 'away': 12}, {'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_zulVX0vh;Finalizado;2021-01-09;Nikiforov O. (Rus);Matveyev I. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 2, 'away': 11}];;
Liga Pro (Rusia);1;g_25_t2bwKgX6;Finalizado;2021-01-09;Zabrodin A. (Rus);Doncenko A. (Rus);3;2;[{'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_My0kVJu8;Finalizado;2021-01-09;Kononenko A. (Rus);Duka A. (Rus);3;1;[{'home': 13, 'away': 11}, {'home': 11, 'away': 4}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}];;
