league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_WtMGgJfi;Finalizado;2021-01-11;Wetzel F. (Ger);Bluhm F. (Ger);0;3;[{'home': 7, 'away': 11}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];;
Challenger Series (Alemania);1;g_25_AXKKhwAc;Finalizado;2021-01-11;Ligocki C. (Ger);Servaty M. (Ger);1;3;[{'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_jqxIicP3;Finalizado;2021-01-11;Zeptner H. (Ger);Martinko J. (Cze);0;3;[{'home': 3, 'away': 11}, {'home': 6, 'away': 11}, {'home': 12, 'away': 14}];;
Challenger Series (Alemania);1;g_25_UZzMjHvA;Finalizado;2021-01-11;Chambers D. (Aus);Cheaib D. (Leb);1;3;[{'home': 8, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 4, 'away': 11}];;
Challenger Series (Alemania);1;g_25_OdzQkyfG;Finalizado;2021-01-11;Wetzel F. (Ger);Ligocki C. (Ger);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 8}, {'home': 11, 'away': 6}];;
Challenger Series (Alemania);1;g_25_x0vUle9M;Finalizado;2021-01-11;Zeptner H. (Ger);Servaty M. (Ger);0;3;[{'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 4, 'away': 11}];;
Challenger Series (Alemania);1;g_25_KOTYmFOS;Finalizado;2021-01-11;Chambers D. (Aus);Martinko J. (Cze);0;3;[{'home': 4, 'away': 11}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_MXF0qZWq;Finalizado;2021-01-11;Cheaib D. (Leb);Bluhm F. (Ger);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 8}, {'home': 15, 'away': 13}];;
Challenger Series (Alemania);1;g_25_j7K4rgnj;Finalizado;2021-01-11;Wetzel F. (Ger);Zeptner H. (Ger);3;1;[{'home': 14, 'away': 12}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 11, 'away': 8}];;
Challenger Series (Alemania);1;g_25_UcJ8sD1d;Finalizado;2021-01-11;Ligocki C. (Ger);Bluhm F. (Ger);0;3;[{'home': 4, 'away': 11}, {'home': 1, 'away': 11}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_W2ci6dvc;Finalizado;2021-01-11;Cheaib D. (Leb);Martinko J. (Cze);3;1;[{'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 2}, {'home': 11, 'away': 9}];;
Challenger Series (Alemania);1;g_25_UmGf5Gg3;Finalizado;2021-01-11;Chambers D. (Aus);Servaty M. (Ger);2;3;[{'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}];;
