league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Win Cup (Ucrania);1;g_25_O8zRu3i9;Finalizado;2021-01-06;Gedz V. (Ukr);Kushko D. (Ukr);2;3;[{'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 6, 'away': 11}, {'home': 13, 'away': 11}, {'home': 3, 'away': 11}];;
Win Cup (Ucrania);1;g_25_2aZUvN6F;Finalizado;2021-01-06;Kidalov V. (Ukr);Ptitsyn D. (Ukr);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 4, 'away': 11}, {'home': 11, 'away': 5}];;
Win Cup (Ucrania);1;g_25_AuqXVpzb;Finalizado;2021-01-06;Kovalenko Vl. (Ukr);Gaynyuk V. (Ukr);3;1;[{'home': 11, 'away': 3}, {'home': 5, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_xSpPX65o;Finalizado;2021-01-06;Nikolenko M. (Ukr);Popov A. (Ukr);3;2;[{'home': 3, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 13, 'away': 11}];;
Win Cup (Ucrania);1;g_25_dMYYwsML;Finalizado;2021-01-06;Ptitsyn D. (Ukr);Kushko D. (Ukr);0;3;[{'home': 10, 'away': 12}, {'home': 7, 'away': 11}, {'home': 10, 'away': 12}];;
Win Cup (Ucrania);1;g_25_rDF5guYL;Finalizado;2021-01-06;Gusev V. (Ukr);Gaynyuk V. (Ukr);3;0;[{'home': 18, 'away': 16}, {'home': 13, 'away': 11}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_WfPd0FG2;Finalizado;2021-01-06;Gutnichenko A. (Ukr);Plakhteyev N. (Ukr);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 8}, {'home': 11, 'away': 3}];;
Win Cup (Ucrania);1;g_25_f7ixw1yS;Finalizado;2021-01-06;Kidalov V. (Ukr);Gedz V. (Ukr);1;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_hO0Nt2lG;Finalizado;2021-01-06;Kirsanov K. (Ukr);Popov A. (Ukr);3;2;[{'home': 11, 'away': 4}, {'home': 4, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}];;
Win Cup (Ucrania);1;g_25_MqSDV3BB;Finalizado;2021-01-06;Treshchyov E. (Ukr);Shalgorodskiy N. (Ukr);0;3;[{'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}];;
Win Cup (Ucrania);1;g_25_IBLMTstO;Finalizado;2021-01-06;Andreev O. (Ukr);Zakharov Y. (Ukr);3;0;[{'home': 14, 'away': 12}, {'home': 11, 'away': 2}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_0zRHUNQH;Finalizado;2021-01-06;Dotsenko V. (Ukr);Dyakov V. (Ukr);0;3;[{'home': 8, 'away': 11}, {'home': 12, 'away': 14}, {'home': 6, 'away': 11}];;
Win Cup (Ucrania);1;g_25_GIqTWQKi;Finalizado;2021-01-06;Kats L. (Ukr);Kirsanov K. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_M3E9hamS;Finalizado;2021-01-06;Kovalenko Vl. (Ukr);Gusev V. (Ukr);1;3;[{'home': 4, 'away': 11}, {'home': 11, 'away': 13}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_vq1ylJeq;Finalizado;2021-01-06;Chukanov M. (Ukr);Gaynyuk V. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 6}, {'home': 7, 'away': 11}];;
Win Cup (Ucrania);1;g_25_AoO0aZV8;Finalizado;2021-01-06;Gutnichenko A. (Ukr);Zakharov Y. (Ukr);3;0;[{'home': 15, 'away': 13}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_6R4RuM3M;Finalizado;2021-01-06;Kirsanov K. (Ukr);Nikolenko M. (Ukr);3;0;[{'home': 13, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_8tlqoqBb;Finalizado;2021-01-06;Kuleshov N. (Ukr);Krivoshey S. (Ukr);0;3;[{'home': 5, 'away': 11}, {'home': 9, 'away': 11}, {'home': 1, 'away': 11}];;
Win Cup (Ucrania);1;g_25_ANPD0OAo;Finalizado;2021-01-06;Treshchyov E. (Ukr);Dyakov V. (Ukr);3;1;[{'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}];;
Win Cup (Ucrania);1;g_25_jcubbgoF;Finalizado;2021-01-06;Andreev O. (Ukr);Plakhteyev N. (Ukr);2;3;[{'home': 7, 'away': 11}, {'home': 13, 'away': 11}, {'home': 13, 'away': 11}, {'home': 8, 'away': 11}, {'home': 2, 'away': 11}];;
Win Cup (Ucrania);1;g_25_lEOHarQi;Finalizado;2021-01-06;Dotsenko V. (Ukr);Shalgorodskiy N. (Ukr);1;3;[{'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 6, 'away': 11}];;
Win Cup (Ucrania);1;g_25_ljfWvtJS;Finalizado;2021-01-06;Kats L. (Ukr);Popov A. (Ukr);3;2;[{'home': 4, 'away': 11}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_2H2np3Q4;Finalizado;2021-01-06;Kiyanov A. (Ukr);Shekhovtsov A. (Ukr);3;1;[{'home': 11, 'away': 3}, {'home': 11, 'away': 6}, {'home': 11, 'away': 13}, {'home': 11, 'away': 3}];;
Win Cup (Ucrania);1;g_25_xUJvmwBk;Finalizado;2021-01-06;Kovalenko Vl. (Ukr);Chukanov M. (Ukr);1;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 12, 'away': 14}, {'home': 9, 'away': 11}];;
