league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Bundesliga (Alemania);1;g_25_fZk8qlQm;Finalizado;2021-02-03 13:00:00;Bremen;Bergneustadt;3;1;[];;
Bundesliga (Alemania);1;g_25_bmYn2vKg;Finalizado;2021-02-03 13:00:00;Saarbrücken;Neu-Ulm;3;0;[];;
Bundesliga (Alemania);1;g_25_MVWXhbIf;Finalizado;;Falck M. (Swe);Fegerl S. (Aut);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 7}, {'home': 11, 'away': 4}];;
Bundesliga (Alemania);1;g_25_0bmk1MAE;Finalizado;;Jorgic D. (Slo);Apolonia T. (Por);3;1;[{'home': 18, 'away': 16}, {'home': 8, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 1}];;
Bundesliga (Alemania);1;g_25_0MVyhIX0;Finalizado;;Gerassimenko K. (Kaz);Duda B. (Ger);3;1;[{'home': 12, 'away': 10}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}];;
Bundesliga (Alemania);1;g_25_UXig0tQK;Finalizado;;Shang K. (Chn);Sidorenko V. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 4}, {'home': 11, 'away': 5}];;
Bundesliga (Alemania);1;g_25_8Ojca0uR;Finalizado;;Franziska P. (Ger);Stumper K. (Ger);3;1;[{'home': 12, 'away': 14}, {'home': 11, 'away': 2}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];;
Bundesliga (Alemania);1;g_25_tYnZjxm7;Finalizado;;Aguirre M. (Par);Robles A. (Esp);2;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 3, 'away': 11}];;
Bundesliga (Alemania);1;g_25_E5TPfKmr;Anulado;;Jorgic D. (Slo);Sidorenko V. (Rus);0;0;[];;
Bundesliga (Alemania);1;g_25_KOowjd2D;Finalizado;;Falck M. (Swe);Duda B. (Ger);3;2;[{'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_biI5VsG8;Finalizado;;Belugin O. (Rus);Karpovkin G. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 10, 'away': 12}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_W4GDTLpL;Finalizado;;Nikiforov O. (Rus);Khomutov S. (Rus);0;3;[{'home': 14, 'away': 16}, {'home': 8, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_jkcpOa8r;Finalizado;;Sinkovskiy V. (Rus);Muslikov S. (Rus);1;3;[{'home': 10, 'away': 12}, {'home': 12, 'away': 10}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_nB9EpELC;Finalizado;;Zabrodin A. (Rus);Belugin O. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 3}, {'home': 11, 'away': 2}];;
Liga Pro (Rusia);1;g_25_bkwX2eys;Finalizado;;Gavrilov Y. (Ukr);Nikiforov O. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 3, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_6LPmaDz6;Finalizado;;Ovechkin S. (Rus);Sinkovskiy V. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_Q18IqYzJ;Finalizado;;Karpovkin G. (Rus);Vshivkov P. (Rus);3;2;[{'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_xtxy2Fjm;Finalizado;;Khomutov S. (Rus);Arutiunyan A. (Rus);3;1;[{'home': 12, 'away': 10}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 2}];;
Liga Pro (Rusia);1;g_25_KOTibXkC;Finalizado;;Muslikov S. (Rus);Alov R. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 3, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_v5d08HDJ;Finalizado;;Vshivkov P. (Rus);Belugin O. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 6}, {'home': 11, 'away': 2}];;
Liga Pro (Rusia);1;g_25_EoTeci5I;Finalizado;;Alov R. (Rus);Sinkovskiy V. (Rus);3;1;[{'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_p6yu1Z5g;Finalizado;;Arutiunyan A. (Rus);Nikiforov O. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_h8047yTP;Finalizado;;Zabrodin A. (Rus);Karpovkin G. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 4}, {'home': 11, 'away': 2}];;
Liga Pro (Rusia);1;g_25_Odzq0gLa;Finalizado;;Gavrilov Y. (Ukr);Khomutov S. (Rus);1;3;[{'home': 5, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_jBjPuPZp;Finalizado;;Ovechkin S. (Rus);Muslikov S. (Rus);2;3;[{'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 11, 'away': 13}, {'home': 3, 'away': 11}];;
Liga Pro (Rusia);1;g_25_ShoURar6;Finalizado;;Karpovkin G. (Rus);Belugin O. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 12, 'away': 10}, {'home': 12, 'away': 14}, {'home': 11, 'away': 13}];;
Liga Pro (Rusia);1;g_25_f5MOms5P;Finalizado;;Gavrilov Y. (Ukr);Nikiforov O. (Rus);0;3;[{'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_0KptfIRb;Finalizado;;Ovechkin S. (Rus);Sinkovskiy V. (Rus);3;1;[{'home': 11, 'away': 4}, {'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_6qpYQJcC;Finalizado;;Vshivkov P. (Rus);Zabrodin A. (Rus);2;3;[{'home': 11, 'away': 5}, {'home': 11, 'away': 7}, {'home': 2, 'away': 11}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}];;
