league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Bundesliga (Alemania);1;g_25_p04xkA2Q;Finalizado;2021-02-21 00:00:00;Bad Homburg;Bremen;1;3;[];;
Bundesliga (Alemania);1;g_25_2yFXkjmK;Finalizado;2021-02-21 00:00:00;Bergneustadt;Saarbrücken;0;3;[];;
Bundesliga (Alemania);1;g_25_v3TxU8Q0;Finalizado;2021-02-21 00:00:00;Düsseldorf;Muhlhausen;3;1;[];;
Bundesliga (Alemania);1;g_25_zVMoSneD;Finalizado;2021-02-21 00:00:00;Fulda-Maberzell;Ochsenhausen;2;3;[];;
Bundesliga (Alemania);1;g_25_lYATjWXD;Finalizado;2021-02-21 00:00:00;Grunwettersbach;Bad Konigshofen;3;1;[];;
Bundesliga (Alemania);1;g_25_dvOsTSu7;Finalizado;2021-02-21 00:00:00;Neu-Ulm;Grenzau;3;0;[];;
Bundesliga (Alemania);1;g_25_65umuSr4;Finalizado;2021-02-21 00:00:00;Apolonia T. (Por);Devos R. (Bel);3;1;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 11, 'away': 3}, {'home': 11, 'away': 7}];;
Bundesliga (Alemania);1;g_25_YJeTKcck;Finalizado;2021-02-21 00:00:00;Filus R. (Ger);Kulczycki S. (Pol);3;1;[{'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 5}];;
Bundesliga (Alemania);1;g_25_WIV2Zyeo;Finalizado;2021-02-21 00:00:00;Kallberg A. (Swe);Habesohn D. (Aut);3;0;[{'home': 11, 'away': 4}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}];;
Bundesliga (Alemania);1;g_25_nNL2ZdCr;Finalizado;2021-02-21 00:00:00;Robles A. (Esp);Shang K. (Chn);2;3;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 10, 'away': 12}, {'home': 8, 'away': 11}];;
Bundesliga (Alemania);1;g_25_fg8JVEB7;Finalizado;2021-02-21 00:00:00;Sipos R. (Rou);Aguirre M. (Par);3;0;[{'home': 11, 'away': 4}, {'home': 13, 'away': 11}, {'home': 11, 'away': 8}];;
Bundesliga (Alemania);1;g_25_KCyOtuK8;Finalizado;2021-02-21 00:00:00;Wang X. (Ger);Salifou A-K. (Fra);3;1;[{'home': 14, 'away': 12}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 11, 'away': 5}];;
Bundesliga (Alemania);1;g_25_dbn2fbl8;Finalizado;2021-02-21 00:00:00;Katsman L. (Ger);Falck M. (Swe);1;3;[{'home': 11, 'away': 4}, {'home': 8, 'away': 11}, {'home': 4, 'away': 11}, {'home': 5, 'away': 11}];;
Bundesliga (Alemania);1;g_25_KlwyrUbo;Finalizado;2021-02-21 00:00:00;Walther R. (Ger);Mengel S. (Ger);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 11, 'away': 8}];;
Bundesliga (Alemania);1;g_25_GroYJHCe;Finalizado;2021-02-21 00:00:00;Oehme B. (Ger);Gauzy S. (Fra);0;3;[{'home': 5, 'away': 11}, {'home': 5, 'away': 11}, {'home': 8, 'away': 11}];;
Bundesliga (Alemania);1;g_25_lUUivnbA;Finalizado;2021-02-21 00:00:00;Lebesson E. (Fra);Pletea C. (Rou);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 4}, {'home': 11, 'away': 8}];;
Bundesliga (Alemania);1;g_25_xlWSuaZE;Finalizado;2021-02-21 00:00:00;Qiu D. (Ger);Steger B. (Ger);3;2;[{'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 2}];;
Bundesliga (Alemania);1;g_25_UoB7YGRl;Finalizado;2021-02-21 00:00:00;Duda B. (Ger);Jorgic D. (Slo);0;3;[{'home': 6, 'away': 11}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}];;
Bundesliga (Alemania);1;g_25_A1j6gI3E;Finalizado;2021-02-21 00:00:00;Grebnev M. (Rus);Gerassimenko K. (Kaz);1;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 3, 'away': 11}, {'home': 9, 'away': 11}];;
Bundesliga (Alemania);1;g_25_buxuslEi;Finalizado;2021-02-21 00:00:00;Karlsson K. (Swe);Ionescu O. (Rou);0;3;[{'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 9, 'away': 11}];;
Bundesliga (Alemania);1;g_25_SIlxJyS1;Finalizado;2021-02-21 00:00:00;Meng F. B. (Ger);Jha K. (Usa);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 8}, {'home': 11, 'away': 2}];;
Bundesliga (Alemania);1;g_25_SKTew6DG;Finalizado;2021-02-21 00:00:00;Sidorenko V. (Rus);Sgouropoulos I. (Gre);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Bundesliga (Alemania);1;g_25_h2yqt8Tc;Finalizado;2021-02-21 00:00:00;Kallberg A. (Swe);Mengel S. (Ger);3;2;[{'home': 10, 'away': 12}, {'home': 11, 'away': 2}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}];;
Bundesliga (Alemania);1;g_25_fTdPLwrq;Anulado;2021-02-21 00:00:00;Apolonia T. (Por);Pletea C. (Rou);0;0;[];;
Bundesliga (Alemania);1;g_25_tMxKsL42;Finalizado;2021-02-21 00:00:00;Filus R. (Ger);Gauzy S. (Fra);0;3;[{'home': 20, 'away': 22}, {'home': 8, 'away': 11}, {'home': 7, 'away': 11}];;
Bundesliga (Alemania);1;g_25_4OkAhxJK;Finalizado;2021-02-21 00:00:00;Sipos R. (Rou);Falck M. (Swe);1;3;[{'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 10, 'away': 12}, {'home': 3, 'away': 11}];;
Bundesliga (Alemania);1;g_25_8xABXzse;Finalizado;2021-02-21 00:00:00;Mino A. (Ecu);Franziska P. (Ger);1;3;[{'home': 11, 'away': 7}, {'home': 11, 'away': 13}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}];;
Bundesliga (Alemania);1;g_25_GvVWvJlL;Finalizado;2021-02-21 00:00:00;Kozul D. (Slo);Ort K. (Ger);2;3;[{'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 2, 'away': 11}];;
Bundesliga (Alemania);1;g_25_G29FWfd1;Anulado;2021-02-21 00:00:00;Robles A. (Esp);Jorgic D. (Slo);0;0;[];;
Bundesliga (Alemania);1;g_25_A1Uzvw4R;Finalizado;2021-02-21 00:00:00;Wang X. (Ger);Steger B. (Ger);3;1;[{'home': 9, 'away': 11}, {'home': 13, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_OtQo5eOg;Finalizado;2021-02-21 00:00:00;Meteleshko I. (Rus);Bogomolov A. (Rus);1;3;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_dfOg3Zh6;Finalizado;2021-02-21 00:00:00;Gavrilov Y. (Ukr);Nosov K. (Rus);2;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 13, 'away': 15}];;
Liga Pro (Rusia);1;g_25_hMH21DNI;Finalizado;2021-02-21 00:00:00;Pandur I. (Rus);Muslikov S. (Rus);0;3;[{'home': 5, 'away': 11}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_SzOyGXg9;Finalizado;2021-02-21 00:00:00;Duka A. (Rus);Meteleshko I. (Rus);1;3;[{'home': 4, 'away': 11}, {'home': 12, 'away': 14}, {'home': 12, 'away': 10}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_Sl3AUW82;Finalizado;2021-02-21 00:00:00;Ovechkin S. (Rus);Pandur I. (Rus);3;2;[{'home': 9, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_KY2G8knq;Finalizado;2021-02-21 00:00:00;Olshakov K. (Rus);Gavrilov Y. (Ukr);0;3;[{'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_6RMuFi9F;Finalizado;2021-02-21 00:00:00;Bogomolov A. (Rus);Selkin V. (Rus);3;2;[{'home': 8, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 3}, {'home': 1, 'away': 11}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_6u2ETjO8;Finalizado;2021-02-21 00:00:00;Muslikov S. (Rus);Doncenko A. (Rus);3;2;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 2}, {'home': 11, 'away': 5}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_IJLJ791k;Finalizado;2021-02-21 00:00:00;Nosov K. (Rus);Arutiunyan A. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_z1RqEBOL;Finalizado;2021-02-21 00:00:00;Selkin V. (Rus);Meteleshko I. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_CtLN6TGe;Finalizado;2021-02-21 00:00:00;Arutiunyan A. (Rus);Gavrilov Y. (Ukr);2;3;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_021ISAwF;Finalizado;2021-02-21 00:00:00;Doncenko A. (Rus);Pandur I. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 13, 'away': 15}, {'home': 11, 'away': 5}, {'home': 6, 'away': 11}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_EiQmDVwS;Finalizado;2021-02-21 00:00:00;Duka A. (Rus);Bogomolov A. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 5, 'away': 11}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_jXJR5mW1;Finalizado;2021-02-21 00:00:00;Olshakov K. (Rus);Nosov K. (Rus);0;3;[{'home': 4, 'away': 11}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_E55MRUhL;Finalizado;2021-02-21 00:00:00;Ovechkin S. (Rus);Muslikov S. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_bBQo9QOk;Finalizado;2021-02-21 00:00:00;Selkin V. (Rus);Duka A. (Rus);2;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 13}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_2wlIQDBK;Finalizado;2021-02-21 00:00:00;Doncenko A. (Rus);Pandur I. (Rus);0;3;[{'home': 10, 'away': 12}, {'home': 6, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_dtoASZt8;Finalizado;2021-02-21 00:00:00;Olshakov K. (Rus);Arutiunyan A. (Rus);3;0;[{'home': 11, 'away': 3}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_tzGj8pvd;Finalizado;2021-02-21 00:00:00;Meteleshko I. (Rus);Bogomolov A. (Rus);3;2;[{'home': 11, 'away': 5}, {'home': 11, 'away': 5}, {'home': 9, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_8GlERgdE;Finalizado;2021-02-21 00:00:00;Nosov K. (Rus);Gavrilov Y. (Ukr);3;0;[{'home': 15, 'away': 13}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_tUnMPXQQ;Finalizado;2021-02-21 00:00:00;Muslikov S. (Rus);Ovechkin S. (Rus);3;1;[{'home': 6, 'away': 11}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_UouWqoho;Finalizado;2021-02-21 00:00:00;Evlakhin D. (Rus);Khramkov P. (Rus);3;1;[{'home': 11, 'away': 5}, {'home': 6, 'away': 11}, {'home': 11, 'away': 3}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_ILzQ5SE4;Finalizado;2021-02-21 00:00:00;Buyanin I. (Rus);Suharkov O. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 3, 'away': 11}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_r3rD8UUo;Finalizado;2021-02-21 00:00:00;Chahur V. (Rus);Davydov M. (Rus);3;1;[{'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_MgsH7lph;Finalizado;2021-02-21 00:00:00;Kovalev I. (Rus);Shishko Y. (Rus);1;3;[{'home': 5, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_CrzU4nUA;Finalizado;2021-02-21 00:00:00;Bazhinov Y. (Rus);Vahnin G. (Rus);3;1;[{'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 11, 'away': 1}];;
Liga Pro (Rusia);1;g_25_4IWL68ab;Finalizado;2021-02-21 00:00:00;Frolov A. G. (Rus);Glazun E. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_dUfRQl8R;Finalizado;2021-02-21 00:00:00;Khramkov P. (Rus);Chahur V. (Rus);0;3;[{'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 1, 'away': 11}];;
Liga Pro (Rusia);1;g_25_SIU5J601;Finalizado;2021-02-21 00:00:00;Shishko Y. (Rus);Frolov A. G. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 4, 'away': 11}, {'home': 11, 'away': 7}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_lQvQO1xs;Finalizado;2021-02-21 00:00:00;Suharkov O. (Rus);Bazhinov Y. (Rus);2;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 13}, {'home': 11, 'away': 7}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_bwsgM8Gr;Finalizado;2021-02-21 00:00:00;Davydov M. (Rus);Evlakhin D. (Rus);3;2;[{'home': 11, 'away': 7}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 4}];;
Liga Pro (Rusia);1;g_25_tMY9IQF7;Finalizado;2021-02-21 00:00:00;Glazun E. (Rus);Kovalev I. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_63tcLSVl;Finalizado;2021-02-21 00:00:00;Evlakhin D. (Rus);Chahur V. (Rus);1;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_SGwUNLim;Finalizado;2021-02-21 00:00:00;Vahnin G. (Rus);Buyanin I. (Rus);2;3;[{'home': 13, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 3}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_fPMisAh8;Finalizado;2021-02-21 00:00:00;Kovalev I. (Rus);Frolov A. G. (Rus);3;2;[{'home': 11, 'away': 3}, {'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 7, 'away': 11}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_pfu1Knoe;Finalizado;2021-02-21 00:00:00;Khramkov P. (Rus);Davydov M. (Rus);3;1;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_MwwYMu7g;Finalizado;2021-02-21 00:00:00;Buyanin I. (Rus);Bazhinov Y. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_YFLetU7E;Finalizado;2021-02-21 00:00:00;Shishko Y. (Rus);Glazun E. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 13}];;
Liga Pro (Rusia);1;g_25_rgLgRv3O;Finalizado;2021-02-21 00:00:00;Davydov M. (Rus);Khramkov P. (Rus);3;1;[{'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_h4lCqMIh;Finalizado;2021-02-21 00:00:00;Kovalev I. (Rus);Frolov A. G. (Rus);1;3;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 2, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_YDtxMaMa;Finalizado;2021-02-21 00:00:00;Suharkov O. (Rus);Vahnin G. (Rus);1;3;[{'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_vLjOtK2B;Finalizado;2021-02-21 00:00:00;Vahnin G. (Rus);Suharkov O. (Rus);3;0;[{'home': 11, 'away': 3}, {'home': 11, 'away': 5}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_MqKcQbIU;Finalizado;2021-02-21 00:00:00;Chahur V. (Rus);Evlakhin D. (Rus);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 2}, {'home': 11, 'away': 3}];;
Liga Pro (Rusia);1;g_25_WfmGrtYb;Finalizado;2021-02-21 00:00:00;Glazun E. (Rus);Shishko Y. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_jZYX36qH;Finalizado;2021-02-21 00:00:00;Yakovlev A. (Rus);Chernov V. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_zmpXvbXN;Finalizado;2021-02-21 00:00:00;Buyanin I. (Rus);Bazhinov Y. (Rus);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 4}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_tfY7ZIja;Finalizado;2021-02-21 00:00:00;Panevin S. (Rus);Nosov K. (Rus);0;3;[{'home': 10, 'away': 12}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_n1St2pET;Finalizado;2021-02-21 00:00:00;Demic Y. (Rus);Pronkin M. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 13, 'away': 15}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_8ATx3QbN;Finalizado;2021-02-21 00:00:00;Sadkov A. (Rus);Alekseev A. (Rus);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_4tF8c4Mp;Finalizado;2021-02-21 00:00:00;Kaplan S. (Rus);Chentsov A. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 6, 'away': 11}];;
