league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Win Cup (Ucrania);1;g_25_Cbp1Rcoe;Finalizado;2020-12-26;Kalenik S. (Ukr);Lazebny R. (Ukr);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_6Lq5QH01;Finalizado;2020-12-26;Khorolsky V. (Rus);Vavrenyuk S. (Ukr);3;2;[{'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}];;
Win Cup (Ucrania);1;g_25_bmnBul65;Finalizado;2020-12-26;Kryvorotko Y. (Ukr);Tretyak N. (Ukr);1;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 13}, {'home': 11, 'away': 7}, {'home': 8, 'away': 11}];;
Win Cup (Ucrania);1;g_25_niZZ44ZG;Finalizado;2020-12-26;Oplachko A. (Ukr);Kuzo L. (Ukr);2;3;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_pCr9PyG7;Finalizado;2020-12-26;Vavrenyuk S. (Ukr);Lazebny R. (Ukr);2;3;[{'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 5, 'away': 11}];;
Win Cup (Ucrania);1;g_25_WE3qlLh8;Finalizado;2020-12-26;Khorolsky V. (Rus);Kalenik S. (Ukr);0;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_fT8MgX1U;Finalizado;2020-12-26;Kienko S. (Ukr);Gimadeev R. (Ukr);1;3;[{'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}];;
Win Cup (Ucrania);1;g_25_K2zKwSzI;Finalizado;2020-12-26;Pirveli R. (Ukr);Khimenko A. (Ukr);3;0;[{'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 11, 'away': 7}];;
Win Cup (Ucrania);1;g_25_tCyGv8LB;Finalizado;2020-12-26;Kibka Y. (Ukr);Kirsanov K. (Ukr);3;1;[{'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}];;
Win Cup (Ucrania);1;g_25_pzeAN2MR;Finalizado;2020-12-26;Zubkov E. (Ukr);Deynega M. (Ukr);0;3;[{'home': 7, 'away': 11}, {'home': 5, 'away': 11}, {'home': 7, 'away': 11}];;
