league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_ABFtgHM7;Finalizado;2021-01-25 00:00:00;Qiu L. (Ger);Bluhm F. (Ger);2;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_OE3OH0a8;Finalizado;2021-01-25 00:00:00;Cheaib D. (Leb);Perez J. (Esp);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 11, 'away': 1}, {'home': 11, 'away': 5}];;
Challenger Series (Alemania);1;g_25_252SGKEE;Finalizado;2021-01-25 00:00:00;Klein D. (Ger);Sanchi F. (Arg);3;0;[{'home': 11, 'away': 4}, {'home': 12, 'away': 10}, {'home': 11, 'away': 6}];;
Challenger Series (Alemania);1;g_25_KtcXFvUK;Finalizado;2021-01-25 00:00:00;Chtchetinine E. (Blr);Kuzmin F. (Rus);1;3;[{'home': 11, 'away': 13}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 3, 'away': 11}];;
Challenger Series (Alemania);1;g_25_zDkF7Gy1;Finalizado;2021-01-25 00:00:00;Qiu L. (Ger);Cheaib D. (Leb);0;3;[{'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 4, 'away': 11}];;
Challenger Series (Alemania);1;g_25_4nfJ6zi7;Finalizado;2021-01-25 00:00:00;Klein D. (Ger);Perez J. (Esp);3;2;[{'home': 11, 'away': 4}, {'home': 11, 'away': 5}, {'home': 7, 'away': 11}, {'home': 12, 'away': 14}, {'home': 11, 'away': 9}];;
Challenger Series (Alemania);1;g_25_rwgN5f6D;Finalizado;2021-01-25 00:00:00;Chtchetinine E. (Blr);Sanchi F. (Arg);3;1;[{'home': 7, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 3}, {'home': 11, 'away': 3}];;
Challenger Series (Alemania);1;g_25_prX5UwqE;Finalizado;2021-01-25 00:00:00;Kuzmin F. (Rus);Bluhm F. (Ger);3;2;[{'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_boyATcbK;Finalizado;2021-01-25 00:00:00;Qiu L. (Ger);Klein D. (Ger);1;3;[{'home': 11, 'away': 3}, {'home': 7, 'away': 11}, {'home': 10, 'away': 12}, {'home': 4, 'away': 11}];;
Challenger Series (Alemania);1;g_25_h8zESHDQ;Finalizado;2021-01-25 00:00:00;Cheaib D. (Leb);Bluhm F. (Ger);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 1}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_fHMuOyMs;Finalizado;2021-01-25 00:00:00;Kuzmin F. (Rus);Sanchi F. (Arg);2;3;[{'home': 11, 'away': 6}, {'home': 11, 'away': 13}, {'home': 13, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Challenger Series (Alemania);1;g_25_zTwwNeyl;Finalizado;2021-01-25 00:00:00;Chtchetinine E. (Blr);Perez J. (Esp);3;1;[{'home': 11, 'away': 7}, {'home': 11, 'away': 1}, {'home': 9, 'away': 11}, {'home': 11, 'away': 4}];;
Challenger Series (Alemania);1;g_25_EJxsMFjf;Finalizado;2021-01-25 00:00:00;Cheaib D. (Leb);Klein D. (Ger);3;2;[{'home': 10, 'away': 12}, {'home': 14, 'away': 12}, {'home': 11, 'away': 6}, {'home': 2, 'away': 11}, {'home': 11, 'away': 6}];;
Challenger Series (Alemania);1;g_25_8txoLZ50;Finalizado;2021-01-25 00:00:00;Sanchi F. (Arg);Bluhm F. (Ger);0;3;[{'home': 10, 'away': 12}, {'home': 2, 'away': 11}, {'home': 5, 'away': 11}];;
