league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Bundesliga (Alemania);1;g_25_Y5l89MRJ;Finalizado;2021-01-26 00:00:00;Bremen;Ochsenhausen;3;2;[];;
Bundesliga (Alemania);1;g_25_pthC8tsQ;Finalizado;2021-01-26 00:00:00;Fulda-Maberzell;Bad Konigshofen;1;3;[];;
Bundesliga (Alemania);1;g_25_jNUv40ks;Finalizado;2021-01-26 00:00:00;Muhlhausen;Grenzau;3;0;[];;
Bundesliga (Alemania);1;g_25_K20QpwkJ;Finalizado;2021-01-26 00:00:00;Saarbrücken;Grunwettersbach;2;3;[];;
Bundesliga (Alemania);1;g_25_UDTr3K4m;Finalizado;2021-01-26 00:00:00;Bergneustadt;Düsseldorf;0;3;[];;
Challenger Series (Alemania);1;g_25_IiBLu1mp;Finalizado;2021-01-26 00:00:00;Klein D. (Ger);Kuzmin F. (Rus);1;3;[{'home': 11, 'away': 9}, {'home': 15, 'away': 17}, {'home': 6, 'away': 11}, {'home': 11, 'away': 13}];;
Challenger Series (Alemania);1;g_25_CEAPvL2j;Finalizado;2021-01-26 00:00:00;Qiu L. (Ger);Sanchi F. (Arg);0;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 13}, {'home': 10, 'away': 12}];;
Challenger Series (Alemania);1;g_25_j59TwuId;Finalizado;2021-01-26 00:00:00;Chtchetinine E. (Blr);Bluhm F. (Ger);2;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}];;
Challenger Series (Alemania);1;g_25_hQ12nXLd;Finalizado;2021-01-26 00:00:00;Cheaib D. (Leb);Kuzmin F. (Rus);3;1;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 6}];;
Challenger Series (Alemania);1;g_25_WG06oiy3;Finalizado;2021-01-26 00:00:00;Perez J. (Esp);Bluhm F. (Ger);0;3;[{'home': 4, 'away': 11}, {'home': 5, 'away': 11}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_Qw0ApBj9;Finalizado;2021-01-26 00:00:00;Klein D. (Ger);Chtchetinine E. (Blr);1;3;[{'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 0, 'away': 11}];;
Challenger Series (Alemania);1;g_25_vs4EqV5F;Finalizado;2021-01-26 00:00:00;Qiu L. (Ger);Perez J. (Esp);3;2;[{'home': 11, 'away': 3}, {'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 13, 'away': 15}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_M5gJrkLL;Finalizado;2021-01-26 00:00:00;Cheaib D. (Leb);Sanchi F. (Arg);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 11, 'away': 4}];;
Challenger Series (Alemania);1;g_25_6yrTeW5s;Finalizado;2021-01-26 00:00:00;Cheaib D. (Leb);Chtchetinine E. (Blr);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 5}, {'home': 11, 'away': 2}];;
Challenger Series (Alemania);1;g_25_OCxYfjLm;Finalizado;2021-01-26 00:00:00;Bluhm F. (Ger);Kuzmin F. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}];;
Challenger Series (Alemania);1;g_25_4Se10CcQ;Finalizado;2021-01-26 00:00:00;Cheaib D. (Leb);Bluhm F. (Ger);3;1;[{'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_rHuWA1Gg;Finalizado;2021-01-26 00:00:00;Vologzhanin V. (Rus);Kolmin A. (Rus);2;3;[{'home': 14, 'away': 12}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 2, 'away': 11}];;
Liga Pro (Rusia);1;g_25_UoJCNv0a;Finalizado;2021-01-26 00:00:00;Gribkov A. (Rus);Bazilevskii V. (Rus);1;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 10, 'away': 12}, {'home': 2, 'away': 11}];;
Liga Pro (Rusia);1;g_25_b5Hl2XXL;Finalizado;2021-01-26 00:00:00;Tsvetkov V. (Rus);Poletaev I. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 8, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_t2bZ9LVa;Finalizado;2021-01-26 00:00:00;Belugin O. (Rus);Vologzhanin V. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_Asjj6wVO;Finalizado;2021-01-26 00:00:00;Khomutov S. (Rus);Tsvetkov V. (Rus);2;3;[{'home': 13, 'away': 15}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_8xIGMbF5;Finalizado;2021-01-26 00:00:00;Razinkov D. (Rus);Gribkov A. (Rus);1;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_zPcw9uo6;Finalizado;2021-01-26 00:00:00;Kolmin A. (Rus);Chernjavskiy M. (Rus);1;3;[{'home': 4, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 7}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_j17LLIUB;Finalizado;2021-01-26 00:00:00;Bazilevskii V. (Rus);Mikheev D. (Rus);2;3;[{'home': 11, 'away': 6}, {'home': 5, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_OpvYUM7P;Finalizado;2021-01-26 00:00:00;Poletaev I. (Rus);Nikiforov O. (Rus);3;1;[{'home': 11, 'away': 7}, {'home': 11, 'away': 13}, {'home': 11, 'away': 7}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_EFds8a0C;Finalizado;2021-01-26 00:00:00;Chernjavskiy M. (Rus);Vologzhanin V. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 11, 'away': 6}, {'home': 14, 'away': 16}];;
Liga Pro (Rusia);1;g_25_44BPKxpI;Finalizado;2021-01-26 00:00:00;Mikheev D. (Rus);Gribkov A. (Rus);2;3;[{'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 16, 'away': 14}, {'home': 11, 'away': 13}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_06VaQtGt;Finalizado;2021-01-26 00:00:00;Nikiforov O. (Rus);Tsvetkov V. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_Wjin7JFI;Finalizado;2021-01-26 00:00:00;Belugin O. (Rus);Kolmin A. (Rus);0;3;[{'home': 4, 'away': 11}, {'home': 5, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_rVK4P0Vn;Finalizado;2021-01-26 00:00:00;Khomutov S. (Rus);Poletaev I. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_xdGh1imS;Finalizado;2021-01-26 00:00:00;Razinkov D. (Rus);Bazilevskii V. (Rus);0;3;[{'home': 4, 'away': 11}, {'home': 6, 'away': 11}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_WxA44bGd;Finalizado;2021-01-26 00:00:00;Vologzhanin V. (Rus);Belugin O. (Rus);2;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 11, 'away': 13}];;
Liga Pro (Rusia);1;g_25_d2Mu2QBe;Finalizado;2021-01-26 00:00:00;Khomutov S. (Rus);Nikiforov O. (Rus);2;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 6}, {'home': 12, 'away': 14}, {'home': 12, 'away': 10}, {'home': 3, 'away': 11}];;
Liga Pro (Rusia);1;g_25_0WCVOmJ8;Finalizado;2021-01-26 00:00:00;Mikheev D. (Rus);Razinkov D. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_zBzoDjKd;Finalizado;2021-01-26 00:00:00;Chernjavskiy M. (Rus);Kolmin A. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 4, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_re2zO7YE;Finalizado;2021-01-26 00:00:00;Bazilevskii V. (Rus);Gribkov A. (Rus);3;0;[{'home': 11, 'away': 4}, {'home': 11, 'away': 6}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_ld9RPT32;Finalizado;2021-01-26 00:00:00;Poletaev I. (Rus);Tsvetkov V. (Rus);2;3;[{'home': 11, 'away': 6}, {'home': 3, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_bRATJdaO;Finalizado;2021-01-26 00:00:00;Kobytov R. (Rus);Korogodsky I. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_6B6OeVAk;Finalizado;2021-01-26 00:00:00;Medvedev P. (Rus);Nemashkalo V. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 3}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_SQfXg9u2;Finalizado;2021-01-26 00:00:00;Simonov K. (Rus);Manuylov O. (Rus);0;3;[{'home': 5, 'away': 11}, {'home': 8, 'away': 11}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_fy3KdBeq;Finalizado;2021-01-26 00:00:00;Minchenkov I. (Rus);Afanasev I. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_lzdTfkQe;Finalizado;2021-01-26 00:00:00;Mohnachev A. (Rus);Gerasimov A. (Rus);3;1;[{'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_GtlFIhI2;Finalizado;2021-01-26 00:00:00;Poprocky A. (Rus);Karpovkin G. (Rus);3;2;[{'home': 12, 'away': 10}, {'home': 11, 'away': 6}, {'home': 3, 'away': 11}, {'home': 8, 'away': 11}, {'home': 13, 'away': 11}];;
Liga Pro (Rusia);1;g_25_xI9XIGEU;Finalizado;2021-01-26 00:00:00;Korogodsky I. (Rus);Minchenkov I. (Rus);2;3;[{'home': 11, 'away': 6}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_jLZ6XFTN;Finalizado;2021-01-26 00:00:00;Manuylov O. (Rus);Poprocky A. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 5}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_MurjybUb;Finalizado;2021-01-26 00:00:00;Nemashkalo V. (Rus);Mohnachev A. (Rus);2;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}];;
