league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_GjRg9Nvn;Finalizado;2021-04-05 01:30:00;Pelz P. (Ger);Bluhm F. (Ger);0;3;[{'home': 4, 'away': 11}, {'home': 6, 'away': 11}, {'home': 0, 'away': 11}];;
Challenger Series (Alemania);1;g_25_ADQc8sfh;Finalizado;2021-04-05 02:10:00;Muhlbach C. (Ger);Martinko J. (Cze);0;3;[{'home': 6, 'away': 11}, {'home': 9, 'away': 11}, {'home': 2, 'away': 11}];;
Challenger Series (Alemania);1;g_25_l4P1719b;Finalizado;2021-04-05 02:50:00;Cheaib D. (Leb);Huzjak J. (Cro);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}];;
Challenger Series (Alemania);1;g_25_6uK66LO4;Finalizado;2021-04-05 03:30:00;Sanchi F. (Arg);Levajac D. (Ger);3;2;[{'home': 12, 'away': 10}, {'home': 16, 'away': 14}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 13, 'away': 11}];;
Challenger Series (Alemania);1;g_25_pWIA5uvB;Finalizado;2021-04-05 04:10:00;Pelz P. (Ger);Muhlbach C. (Ger);0;3;[{'home': 4, 'away': 11}, {'home': 10, 'away': 12}, {'home': 10, 'away': 12}];;
Challenger Series (Alemania);1;g_25_vgIE4agH;Finalizado;2021-04-05 04:50:00;Cheaib D. (Leb);Martinko J. (Cze);0;3;[{'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_hdMI3J8N;Finalizado;2021-04-05 05:30:00;Sanchi F. (Arg);Huzjak J. (Cro);3;2;[{'home': 13, 'away': 11}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 2}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_zLBN2wOT;Finalizado;2021-04-05 06:10:00;Levajac D. (Ger);Bluhm F. (Ger);3;1;[{'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}, {'home': 14, 'away': 12}];;
Challenger Series (Alemania);1;g_25_xUckbcWp;Finalizado;2021-04-05 06:50:00;Pelz P. (Ger);Cheaib D. (Leb);1;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 2, 'away': 11}];;
Challenger Series (Alemania);1;g_25_4znXMt9o;Finalizado;2021-04-05 07:30:00;Muhlbach C. (Ger);Bluhm F. (Ger);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 3}, {'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_rRpyM0Oi;Finalizado;2021-04-05 09:00:00;Levajac D. (Ger);Huzjak J. (Cro);3;2;[{'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Challenger Series (Alemania);1;g_25_QkztLKwb;Finalizado;2021-04-05 09:40:00;Sanchi F. (Arg);Martinko J. (Cze);0;3;[{'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_vgvpKvg4;Finalizado;2021-04-05 10:20:00;Muhlbach C. (Ger);Cheaib D. (Leb);0;3;[{'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 12, 'away': 14}];;
Challenger Series (Alemania);1;g_25_YFwlJb8A;Finalizado;2021-04-05 11:00:00;Huzjak J. (Cro);Bluhm F. (Ger);0;3;[{'home': 5, 'away': 11}, {'home': 8, 'away': 11}, {'home': 6, 'away': 11}];;
Challenger Series (Alemania);1;g_25_C6xhIING;Finalizado;2021-04-05 11:40:00;Levajac D. (Ger);Martinko J. (Cze);2;3;[{'home': 13, 'away': 11}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}];;
Challenger Series (Alemania);1;g_25_UsXdHxwN;;2021-04-05 12:20:00;Pelz P. (Ger);Sanchi F. (Arg);0;0;[];;
Challenger Series (Alemania);1;g_25_8YV0GdhT;;2021-04-05 13:00:00;Cheaib D. (Leb);Bluhm F. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_QDISBG0p;;2021-04-05 13:40:00;Pelz P. (Ger);Levajac D. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_xlMWAzGj;;2021-04-05 14:20:00;Huzjak J. (Cro);Martinko J. (Cze);0;0;[];;
Challenger Series (Alemania);1;g_25_vg0FZJhi;;2021-04-05 15:00:00;Muhlbach C. (Ger);Sanchi F. (Arg);0;0;[];;
Liga Pro (Rusia);1;g_25_pzgWirt1;Finalizado;2021-04-05 00:00:00;Sergeevich I. (Rus);Karpovkin G. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_ImivjMAD;Finalizado;2021-04-05 00:15:00;Kolesnikov D. (Rus);Bazilevskii V. (Rus);3;2;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 3, 'away': 11}, {'home': 13, 'away': 11}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_f5KrcwIt;Finalizado;2021-04-05 00:15:00;Shmakov A. (Rus);Kharlakin O. (Rus);3;2;[{'home': 12, 'away': 14}, {'home': 11, 'away': 7}, {'home': 9, 'away': 11}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_hvqk4CVN;Finalizado;2021-04-05 00:30:00;Vshivkov P. (Rus);Sergeevich I. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 10, 'away': 12}, {'home': 11, 'away': 13}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_lUjM2KBG;Finalizado;2021-04-05 00:45:00;Nemashkalo V. (Rus);Shmakov A. (Rus);3;1;[{'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 12, 'away': 14}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_Kla562Ci;Finalizado;2021-04-05 00:45:00;Simonov S. (Rus);Kolesnikov D. (Rus);3;2;[{'home': 9, 'away': 11}, {'home': 11, 'away': 6}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 4}];;
Liga Pro (Rusia);1;g_25_04rg3WpU;Finalizado;2021-04-05 01:00:00;Karpovkin G. (Rus);Andreev A. (Rus);3;2;[{'home': 11, 'away': 7}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_rijQ1vRM;Finalizado;2021-04-05 01:15:00;Kharlakin O. (Rus);Alov R. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 3, 'away': 11}, {'home': 11, 'away': 4}];;
Liga Pro (Rusia);1;g_25_EBb95MRc;Finalizado;2021-04-05 01:15:00;Bazilevskii V. (Rus);Lisov A. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_2DUKbjgo;Finalizado;2021-04-05 01:30:00;Andreev A. (Rus);Sergeevich I. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 11, 'away': 3}, {'home': 1, 'away': 11}, {'home': 6, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_fRgU0btT;Finalizado;2021-04-05 01:45:00;Alov R. (Rus);Shmakov A. (Rus);1;3;[{'home': 11, 'away': 4}, {'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_h2cD4ts4;Finalizado;2021-04-05 01:45:00;Lisov A. (Rus);Kolesnikov D. (Rus);1;3;[{'home': 5, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_6oe17rco;Finalizado;2021-04-05 02:00:00;Vshivkov P. (Rus);Karpovkin G. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_08WddIlp;Finalizado;2021-04-05 02:15:00;Nemashkalo V. (Rus);Kharlakin O. (Rus);2;3;[{'home': 4, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_AwhI30dA;Finalizado;2021-04-05 02:15:00;Simonov S. (Rus);Bazilevskii V. (Rus);0;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 13}, {'home': 11, 'away': 13}];;
Liga Pro (Rusia);1;g_25_h085A7WT;Finalizado;2021-04-05 00:00:00;Andreev A. (Rus);Karpovkin G. (Rus);1;3;[{'home': 13, 'away': 11}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_2eXvrt9a;Finalizado;2021-04-05 00:00:00;Shmakov A. (Rus);Alov R. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 11, 'away': 6}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_f3kntKwC;Finalizado;2021-04-05 00:00:00;Simonov S. (Rus);Lisov A. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_ULaX5Rvo;Finalizado;2021-04-05 03:00:00;Sergeevich I. (Rus);Vshivkov P. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_xSviuvgI;Finalizado;2021-04-05 03:15:00;Bazilevskii V. (Rus);Kolesnikov D. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 5, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_dIWrs0O5;Finalizado;2021-04-05 03:15:00;Nemashkalo V. (Rus);Kharlakin O. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 3, 'away': 11}];;
Liga Pro (Rusia);1;g_25_lSJndcXn;Finalizado;2021-04-05 03:30:00;Kazakov A. (Rus);Malahov K. (Rus);0;3;[{'home': 2, 'away': 11}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_OpCageH5;Finalizado;2021-04-05 03:45:00;Bondarenko P. (Rus);Lobanov A. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_2XGeHJQ9;Finalizado;2021-04-05 03:45:00;Mishutin E. (Rus);Petrochenko D. (Rus);0;3;[{'home': 8, 'away': 11}, {'home': 10, 'away': 12}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_2VNjeHng;Finalizado;2021-04-05 04:00:00;Zirin A. (Rus);Kutin V. (Rus);3;1;[{'home': 1, 'away': 11}, {'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_dfGaGwtG;Finalizado;2021-04-05 04:15:00;Lyfenko N. (Rus);Nikulin S. (Rus);3;2;[{'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 4}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_bwXV8eYk;Finalizado;2021-04-05 04:15:00;Uezdin A. (Rus);Putilovsky V. (Rus);3;1;[{'home': 11, 'away': 4}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_vaV0ex4j;Finalizado;2021-04-05 04:30:00;Malahov K. (Rus);Zirin A. (Rus);2;3;[{'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 8}, {'home': 13, 'away': 11}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_Ctyz8Fmd;Finalizado;2021-04-05 04:45:00;Lobanov A. (Rus);Uezdin A. (Rus);2;3;[{'home': 15, 'away': 13}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 1, 'away': 11}, {'home': 3, 'away': 11}];;
Liga Pro (Rusia);1;g_25_pfDefy2a;Finalizado;2021-04-05 04:45:00;Petrochenko D. (Rus);Lyfenko N. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 17, 'away': 15}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_SEOrKLti;Finalizado;2021-04-05 05:00:00;Kutin V. (Rus);Kazakov A. (Rus);2;3;[{'home': 7, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_zoF3FceM;Finalizado;2021-04-05 05:15:00;Nikulin S. (Rus);Mishutin E. (Rus);2;3;[{'home': 11, 'away': 5}, {'home': 11, 'away': 13}, {'home': 11, 'away': 7}, {'home': 11, 'away': 13}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_EoFIWbQd;Finalizado;2021-04-05 05:15:00;Putilovsky V. (Rus);Bondarenko P. (Rus);3;1;[{'home': 11, 'away': 0}, {'home': 3, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_65NnJudc;Finalizado;2021-04-05 05:30:00;Kazakov A. (Rus);Zirin A. (Rus);3;2;[{'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 13, 'away': 11}, {'home': 11, 'away': 8}, {'home': 12, 'away': 10}];;
Liga Pro (Rusia);1;g_25_hxEMVIu3;Finalizado;2021-04-05 05:45:00;Bondarenko P. (Rus);Uezdin A. (Rus);0;3;[{'home': 10, 'away': 12}, {'home': 12, 'away': 14}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_27o0EHAS;Finalizado;2021-04-05 05:45:00;Mishutin E. (Rus);Lyfenko N. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 10, 'away': 12}, {'home': 8, 'away': 11}];;
