league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Liga Pro (Rusia);1;g_25_bZYwnLuq;Finalizado;2021-02-01 00:00:00;Vshivkov P. (Rus);Karpovkin G. (Rus);2;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 3}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 6, 'away': 11}];1.7;1.96
Liga Pro (Rusia);1;g_25_xQXsouek;Finalizado;2021-02-01 00:15:00;Lisov A. (Rus);Poletaev I. (Rus);2;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 10, 'away': 12}];3.7;1.21
Liga Pro (Rusia);1;g_25_YiRjqJP1;Finalizado;2021-02-01 00:15:00;Savinskiy A. (Rus);Iskenderov I. (Rus);3;1;[{'home': 5, 'away': 11}, {'home': 11, 'away': 6}, {'home': 13, 'away': 11}, {'home': 11, 'away': 7}];2.15;1.58
Liga Pro (Rusia);1;g_25_QJkSDUUh;Finalizado;2021-02-01 00:30:00;Zabrodin A. (Rus);Vshivkov P. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 4, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}];1.28;3.2
Liga Pro (Rusia);1;g_25_lMtm96qO;Finalizado;2021-02-01 00:45:00;Khomutov S. (Rus);Lisov A. (Rus);3;1;[{'home': 11, 'away': 2}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}];1.35;2.82
Liga Pro (Rusia);1;g_25_0EP4Rmah;Finalizado;2021-02-01 00:45:00;Zubkov V. (Rus);Savinskiy A. (Rus);3;2;[{'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}];1.42;2.55
Liga Pro (Rusia);1;g_25_v5O8Q7Eb;Finalizado;;Iskenderov I. (Rus);Shmakov A. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 5, 'away': 11}, {'home': 4, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 8}];1.88;1.78
Liga Pro (Rusia);1;g_25_KtkWClpa;Finalizado;;Karpovkin G. (Rus);Sergeevich I. (Rus);2;3;[{'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 10, 'away': 12}, {'home': 4, 'away': 11}];1.52;2.28
Liga Pro (Rusia);1;g_25_2Ppi8QbU;Finalizado;2021-02-01 01:15:00;Poletaev I. (Rus);Tolmachev I. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 3}, {'home': 11, 'away': 7}];1.22;3.6
Liga Pro (Rusia);1;g_25_bXmzC8a5;Finalizado;2021-02-01 01:30:00;Sergeevich I. (Rus);Vshivkov P. (Rus);3;1;[{'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 12, 'away': 10}];2.22;1.55
Liga Pro (Rusia);1;g_25_SnCcT9Uu;Finalizado;;Tolmachev I. (Rus);Lisov A. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 3}, {'home': 8, 'away': 11}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}];1.7;1.96
Liga Pro (Rusia);1;g_25_MTDDPRT4;Finalizado;;Shmakov A. (Rus);Savinskiy A. (Rus);3;1;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}];1.58;2.15
Liga Pro (Rusia);1;g_25_6wB1STqn;Finalizado;;Khomutov S. (Rus);Poletaev I. (Rus);3;2;[{'home': 5, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 7}, {'home': 12, 'away': 10}, {'home': 11, 'away': 6}];1.7;1.96
Liga Pro (Rusia);1;g_25_G8ruBSEB;Finalizado;;Zabrodin A. (Rus);Karpovkin G. (Rus);3;0;[{'home': 11, 'away': 3}, {'home': 11, 'away': 3}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_zXHHOoqB;Finalizado;2021-02-01 02:15:00;Zubkov V. (Rus);Iskenderov I. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 5, 'away': 11}, {'home': 12, 'away': 10}, {'home': 5, 'away': 11}, {'home': 11, 'away': 4}];1.96;1.7
Liga Pro (Rusia);1;g_25_prqFxnxc;Finalizado;;Karpovkin G. (Rus);Vshivkov P. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 11, 'away': 13}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_IkW1Tsaq;Finalizado;;Lisov A. (Rus);Tolmachev I. (Rus);3;2;[{'home': 10, 'away': 12}, {'home': 8, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_ENzWY3yM;Finalizado;;Savinskiy A. (Rus);Iskenderov I. (Rus);0;3;[{'home': 10, 'away': 12}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];;
