league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_QcnrSsJp;Finalizado;2021-01-27 00:00:00;Huzjak J. (Cro);Qiu L. (Ger);0;3;[{'home': 4, 'away': 11}, {'home': 5, 'away': 11}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_xYDfyndb;Finalizado;2021-01-27 00:00:00;Klein D. (Ger);Bluhm F. (Ger);0;3;[{'home': 7, 'away': 11}, {'home': 3, 'away': 11}, {'home': 5, 'away': 11}];;
Challenger Series (Alemania);1;g_25_rcaixSth;Finalizado;2021-01-27 00:00:00;Cheaib D. (Leb);Happek S. (Ger);3;0;[{'home': 11, 'away': 3}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}];;
Challenger Series (Alemania);1;g_25_IBeTXCk6;Anulado;2021-01-27 00:00:00;Kuzmin F. (Rus);Chambers D. (Aus);0;0;[];;
Challenger Series (Alemania);1;g_25_8xMfoTvG;Finalizado;2021-01-27 00:00:00;Sanchi F. (Arg);Chambers D. (Aus);3;2;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}];;
Challenger Series (Alemania);1;g_25_b7UloNPM;Finalizado;2021-01-27 00:00:00;Huzjak J. (Cro);Klein D. (Ger);3;2;[{'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 4}];;
Challenger Series (Alemania);1;g_25_6D5BX3eN;Finalizado;2021-01-27 00:00:00;Cheaib D. (Leb);Bluhm F. (Ger);3;0;[{'home': 11, 'away': 4}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}];;
Challenger Series (Alemania);1;g_25_21M4EOlo;Anulado;2021-01-27 00:00:00;Kuzmin F. (Rus);Huzjak J. (Cro);0;0;[];;
Challenger Series (Alemania);1;g_25_nTKbpmfM;Finalizado;2021-01-27 00:00:00;Sanchi F. (Arg);Happek S. (Ger);3;2;[{'home': 12, 'away': 10}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}];;
Challenger Series (Alemania);1;g_25_Cj67YqtH;Finalizado;2021-01-27 00:00:00;Chambers D. (Aus);Qiu L. (Ger);0;3;[{'home': 10, 'away': 12}, {'home': 7, 'away': 11}, {'home': 2, 'away': 11}];;
Challenger Series (Alemania);1;g_25_0z1OYhz0;Finalizado;2021-01-27 00:00:00;Huzjak J. (Cro);Cheaib D. (Leb);2;3;[{'home': 11, 'away': 7}, {'home': 2, 'away': 11}, {'home': 12, 'away': 14}, {'home': 11, 'away': 7}, {'home': 10, 'away': 12}];;
Challenger Series (Alemania);1;g_25_Mq2KZYKg;Finalizado;2021-01-27 00:00:00;Klein D. (Ger);Qiu L. (Ger);2;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}];;
Challenger Series (Alemania);1;g_25_GOCbz6B4;Anulado;2021-01-27 00:00:00;Kuzmin F. (Rus);Qiu L. (Ger);0;0;[];;
Challenger Series (Alemania);1;g_25_6swrak4i;Finalizado;2021-01-27 00:00:00;Sanchi F. (Arg);Bluhm F. (Ger);1;3;[{'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 4, 'away': 11}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_ppdCscPR;Finalizado;2021-01-27 00:00:00;Kolmin A. (Rus);Andreev A. (Rus);2;3;[{'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_xryizFH1;Finalizado;2021-01-27 00:00:00;Shmakov A. (Rus);Chernov V. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 4, 'away': 11}, {'home': 14, 'away': 12}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_UHXrxymk;Finalizado;2021-01-27 00:00:00;Kolesnikov D. (Rus);Poletaev I. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_lhJCAegE;Finalizado;2021-01-27 00:00:00;Zabrodin A. (Rus);Kolmin A. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 4}, {'home': 5, 'away': 11}, {'home': 11, 'away': 13}];;
Liga Pro (Rusia);1;g_25_tjbi3Dol;Finalizado;2021-01-27 00:00:00;Khomutov S. (Rus);Kolesnikov D. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 4, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_OYk8aVpD;Finalizado;2021-01-27 00:00:00;Zubkov V. (Rus);Shmakov A. (Rus);1;3;[{'home': 5, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_SrIG9F8K;Finalizado;2021-01-27 00:00:00;Andreev A. (Rus);Vshivkov P. (Rus);3;2;[{'home': 11, 'away': 7}, {'home': 11, 'away': 1}, {'home': 3, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_2PlCbk0J;Finalizado;2021-01-27 00:00:00;Chernov V. (Rus);Savinskiy A. (Rus);1;3;[{'home': 15, 'away': 13}, {'home': 3, 'away': 11}, {'home': 8, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_fg2e2X0f;Finalizado;2021-01-27 00:00:00;Poletaev I. (Rus);Arutiunyan A. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_pKCL8ZNQ;Finalizado;2021-01-27 00:00:00;Vshivkov P. (Rus);Kolmin A. (Rus);0;3;[{'home': 3, 'away': 11}, {'home': 3, 'away': 11}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_4WwIjeJu;Finalizado;2021-01-27 00:00:00;Savinskiy A. (Rus);Shmakov A. (Rus);2;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 6}, {'home': 4, 'away': 11}, {'home': 11, 'away': 4}, {'home': 6, 'away': 11}];;
Liga Pro (Rusia);1;g_25_xIi01iG0;Finalizado;2021-01-27 00:00:00;Arutiunyan A. (Rus);Kolesnikov D. (Rus);2;3;[{'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 14, 'away': 16}];;
Liga Pro (Rusia);1;g_25_nTbm4gWs;Finalizado;2021-01-27 00:00:00;Zabrodin A. (Rus);Andreev A. (Rus);3;2;[{'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 6}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_IZsMkFYo;Finalizado;2021-01-27 00:00:00;Zubkov V. (Rus);Chernov V. (Rus);1;3;[{'home': 10, 'away': 12}, {'home': 11, 'away': 3}, {'home': 10, 'away': 12}, {'home': 12, 'away': 14}];;
Liga Pro (Rusia);1;g_25_G8j40BV6;Finalizado;2021-01-27 00:00:00;Khomutov S. (Rus);Poletaev I. (Rus);3;2;[{'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 5}, {'home': 12, 'away': 10}];;
