league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Challenger Series (Alemania);1;g_25_p4tkF6Dj;Finalizado;2021-01-13;Zeptner H. (Ger);Ligocki C. (Ger);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 11, 'away': 8}];;
Challenger Series (Alemania);1;g_25_YJZWwjji;Finalizado;2021-01-13;Bluhm F. (Ger);Cheaib D. (Leb);0;3;[{'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Challenger Series (Alemania);1;g_25_6DsoGnbp;Finalizado;2021-01-13;Qiu L. (Ger);Huzjak J. (Cro);3;1;[{'home': 11, 'away': 13}, {'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 11, 'away': 4}];;
Challenger Series (Alemania);1;g_25_CAYzwA5c;Finalizado;2021-01-13;Chtchetinine E. (Blr);Chambers D. (Aus);3;0;[{'home': 11, 'away': 7}, {'home': 13, 'away': 11}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_fZNuxUK3;Finalizado;2021-01-13;Zeptner H. (Ger);Bluhm F. (Ger);1;3;[{'home': 3, 'away': 11}, {'home': 11, 'away': 8}, {'home': 5, 'away': 11}, {'home': 4, 'away': 11}];;
Challenger Series (Alemania);1;g_25_hKtqylzA;Finalizado;2021-01-13;Qiu L. (Ger);Cheaib D. (Leb);3;1;[{'home': 11, 'away': 5}, {'home': 8, 'away': 11}, {'home': 11, 'away': 6}, {'home': 11, 'away': 7}];;
Challenger Series (Alemania);1;g_25_nstmz8kG;Finalizado;2021-01-13;Chtchetinine E. (Blr);Huzjak J. (Cro);3;1;[{'home': 5, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 3}, {'home': 11, 'away': 8}];;
Challenger Series (Alemania);1;g_25_QXviZR4M;Finalizado;2021-01-13;Chambers D. (Aus);Ligocki C. (Ger);1;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 4, 'away': 11}, {'home': 9, 'away': 11}];;
Challenger Series (Alemania);1;g_25_r9ZeYoKS;Finalizado;2021-01-13;Zeptner H. (Ger);Qiu L. (Ger);0;3;[{'home': 3, 'away': 11}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Challenger Series (Alemania);1;g_25_pILNT5Sq;Finalizado;2021-01-13;Bluhm F. (Ger);Ligocki C. (Ger);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 6}, {'home': 11, 'away': 4}];;
Challenger Series (Alemania);1;g_25_vuLRSPsj;Finalizado;2021-01-13;Chtchetinine E. (Blr);Cheaib D. (Leb);1;3;[{'home': 7, 'away': 11}, {'home': 8, 'away': 11}, {'home': 12, 'away': 10}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_GQoMy68U;Finalizado;2021-01-13;Anisimov E. (Rus);Belugin O. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_ngliSwZl;Finalizado;2021-01-13;Alov R. (Rus);Ovechkin S. (Rus);3;0;[{'home': 11, 'away': 5}, {'home': 13, 'away': 11}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_2LCKXaBR;Finalizado;2021-01-13;Nikiforov O. (Rus);Kolesnikov D. (Rus);3;2;[{'home': 6, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_G4ECZLtF;Finalizado;2021-01-13;Andreev A. (Rus);Anisimov E. (Rus);1;3;[{'home': 11, 'away': 6}, {'home': 8, 'away': 11}, {'home': 5, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_UTBej5NN;Finalizado;2021-01-13;Chernov V. (Rus);Alov R. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}, {'home': 9, 'away': 11}];;
Liga Pro (Rusia);1;g_25_QyFvfmOb;Finalizado;2021-01-13;Gavrilov Y. (Ukr);Nikiforov O. (Rus);3;2;[{'home': 13, 'away': 11}, {'home': 4, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_tlDSdkvt;Finalizado;2021-01-13;Belugin O. (Rus);Sergeevich I. (Rus);3;1;[{'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 4, 'away': 11}, {'home': 11, 'away': 3}];;
Liga Pro (Rusia);1;g_25_rD9qg7w5;Finalizado;2021-01-13;Kolesnikov D. (Rus);Arutiunyan A. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 5}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_Ch10kPxU;Finalizado;2021-01-13;Ovechkin S. (Rus);Popov D. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 5, 'away': 11}, {'home': 3, 'away': 11}];;
Liga Pro (Rusia);1;g_25_hOGWe9gn;Finalizado;2021-01-13;Sergeevich I. (Rus);Anisimov E. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 8, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_M38mhRhB;Finalizado;2021-01-13;Arutiunyan A. (Rus);Nikiforov O. (Rus);3;1;[{'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_E1mSpqoo;Finalizado;2021-01-13;Popov D. (Rus);Alov R. (Rus);3;2;[{'home': 8, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 3}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_noGzeT8h;Finalizado;2021-01-13;Andreev A. (Rus);Belugin O. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 7, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_t8yA9SNo;Finalizado;2021-01-13;Chernov V. (Rus);Ovechkin S. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 6}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_GQ7iio8H;Finalizado;2021-01-13;Gavrilov Y. (Ukr);Kolesnikov D. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 5}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_hj1UkWf1;Finalizado;2021-01-13;Sergeevich I. (Rus);Andreev A. (Rus);1;3;[{'home': 5, 'away': 11}, {'home': 11, 'away': 5}, {'home': 6, 'away': 11}, {'home': 12, 'away': 14}];;
Liga Pro (Rusia);1;g_25_Wt0YljA7;Finalizado;2021-01-13;Chernov V. (Rus);Ovechkin S. (Rus);3;1;[{'home': 7, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_AP4DCg2E;Finalizado;2021-01-13;Kolesnikov D. (Rus);Arutiunyan A. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 6}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_bT1QjCue;Finalizado;2021-01-13;Anisimov A. (Rus);Belugin O. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 4}];;
Liga Pro (Rusia);1;g_25_4n4HBDHK;Finalizado;2021-01-13;Gavrilov Y. (Ukr);Nikiforov O. (Rus);1;3;[{'home': 9, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_WY59DZn8;Finalizado;2021-01-13;Popov D. (Rus);Alov R. (Rus);3;1;[{'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 11, 'away': 6}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_0dheRcle;Finalizado;2021-01-13;Ermilov A. (Rus);Kutin V. (Rus);0;3;[{'home': 11, 'away': 13}, {'home': 11, 'away': 13}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_lIYkmuBE;Finalizado;2021-01-13;Minchenkov I. (Rus);Afanasev I. (Rus);1;3;[{'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 11, 'away': 13}, {'home': 13, 'away': 15}];;
Liga Pro (Rusia);1;g_25_Y9j3PyJ7;Finalizado;2021-01-13;Pronkin M. (Rus);Khomenko R. (Rus);1;3;[{'home': 11, 'away': 8}, {'home': 10, 'away': 12}, {'home': 11, 'away': 13}, {'home': 5, 'away': 11}];;
Liga Pro (Rusia);1;g_25_fJiaQH31;Finalizado;2021-01-13;Malahov K. (Rus);Rachkov V. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}, {'home': 3, 'away': 11}];;
Liga Pro (Rusia);1;g_25_ARZolLe8;Finalizado;2021-01-13;Evlampiev V. (Rus);Bazhinov Y. (Rus);3;1;[{'home': 15, 'away': 13}, {'home': 11, 'away': 4}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_0WQ8cMUj;Finalizado;2021-01-13;Korogodsky I. (Rus);Volkov A. (Rus);3;2;[{'home': 5, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 3}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_KbzE8nwh;Finalizado;2021-01-13;Kutin V. (Rus);Malahov K. (Rus);3;2;[{'home': 14, 'away': 12}, {'home': 3, 'away': 11}, {'home': 11, 'away': 6}, {'home': 5, 'away': 11}, {'home': 14, 'away': 12}];;
